Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
good,8,rent,48,31,married,no,fixed,90,150,0,0,1100,1430
bad,4,parents,42,27,single,no,fixed,35,70,0,0,600,926
good,22,owner,24,40,married,no,fixed,75,190,3000,0,1000,1500
good,2,owner,36,35,married,no,fixed,75,152,3000,0,1000,1542
good,15,priv,60,43,married,no,fixed,75,126,3000,0,1350,1360
good,10,owner,18,34,married,no,freelance,75,181,4000,0,600,1000
good,4,owner,60,37,married,no,fixed,60,185,3000,0,1200,1564
good,9,owner,60,53,married,no,fixed,45,170,2500,0,850,1205
good,22,rent,60,46,married,no,fixed,93,176,7500,0,2000,2200
good,18,parents,36,36,married,no,freelance,60,238,0,0,900,2214
good,1,priv,60,46,married,no,fixed,60,115,5500,800,1000,1137
good,14,owner,48,43,married,no,fixed,45,200,9000,0,600,1025
good,8,owner,36,31,married,yes,freelance,75,411,9000,4000,800,1593
good,5,owner,24,43,married,no,fixed,75,93,3000,0,700,1735
good,19,rent,60,38,married,no,fixed,86,108,0,0,1000,1132
good,14,owner,12,37,married,no,freelance,90,500,4000,0,500,1338
good,0,other,36,46,married,yes,others,45,45,0,0,900,1100
good,9,rent,36,55,married,no,fixed,70,250,30000,0,1750,2276
good,29,owner,48,56,married,no,fixed,45,100,3000,0,900,1360
good,10,owner,36,55,married,no,fixed,60,70,4000,0,1000,1436
good,10,parents,36,52,married,no,fixed,60,150,0,0,550,612
bad,1,owner,36,29,married,no,fixed,60,70,4500,0,850,1100
good,11,owner,60,39,divorced,yes,fixed,35,263,2500,0,1000,1300
good,10,owner,60,38,married,no,freelance,75,200,9000,0,1000,2089
good,5,owner,24,24,single,no,fixed,35,78,6000,3000,500,2262
good,10,rent,60,28,single,no,fixed,47,120,0,0,600,1054
good,27,owner,60,53,married,no,fixed,60,125,10000,0,1426,1426
bad,0,rent,60,25,single,no,partime,40,50,0,0,1040,1048
bad,25,rent,60,62,married,no,fixed,60,146,0,0,1000,1292
good,3,parents,60,29,single,no,fixed,35,70,0,0,950,1177
bad,9,parents,60,32,single,yes,fixed,35,105,0,0,1490,1490
good,4,rent,36,21,married,no,freelance,101,413,6000,0,750,850
good,6,rent,36,38,married,no,freelance,95,500,25000,21400,800,1011
good,9,rent,48,56,married,no,freelance,140,350,0,0,1400,1571
good,3,owner,36,41,married,no,freelance,75,200,3000,0,1000,1000
bad,22,other,36,46,married,no,fixed,45,138,0,0,250,270
good,3,owner,60,54,widow,no,others,35,80,4000,0,950,1382
good,30,owner,36,51,married,no,freelance,120,208,15000,0,1500,1713
good,8,rent,60,52,married,no,fixed,89,137,4000,0,800,1086
good,38,owner,48,57,married,no,freelance,45,58,12000,0,1500,3262
good,2,rent,60,33,married,no,fixed,73,130,0,0,1100,1610
good,4,owner,60,33,married,no,fixed,75,123,6000,1000,600,1030
bad,0,rent,36,29,married,no,partime,78,180,0,0,650,650
bad,2,other,48,23,single,no,fixed,35,140,0,0,1950,2175
good,8,owner,24,33,married,no,fixed,75,315,4500,0,400,1780
bad,1,rent,36,24,married,no,partime,76,164,0,0,900,950
bad,6,parents,60,28,married,no,freelance,90,325,7000,0,1200,1211
good,5,owner,60,27,married,no,fixed,45,135,5000,1400,1600,1650
bad,13,parents,36,33,single,no,fixed,35,109,0,0,350,350
good,11,rent,60,32,married,no,fixed,79,185,0,0,950,1117
good,10,owner,24,39,married,no,fixed,45,217,9000,3000,1500,2468
bad,20,owner,60,51,married,no,freelance,90,300,12500,2500,1340,1740
bad,0,owner,36,39,single,no,freelance,35,NA,4000,0,1000,1210
good,13,owner,48,29,married,no,fixed,60,253,3000,0,670,963
bad,2,owner,36,32,married,no,fixed,75,101,1500,400,1200,1646
bad,3,owner,36,40,married,yes,freelance,35,200,10000,0,800,800
good,12,owner,36,47,married,no,fixed,75,124,3500,0,460,470
good,20,owner,24,66,married,no,fixed,45,143,10000,0,950,1370
good,3,priv,48,39,separated,no,freelance,35,250,4000,1500,700,839
good,27,owner,60,50,married,no,fixed,75,135,5500,1000,600,1346
good,4,rent,60,25,married,no,fixed,57,115,0,0,900,1350
bad,1,owner,60,27,married,no,partime,75,160,4000,3000,1800,2100
good,18,rent,60,54,married,no,fixed,66,214,0,0,1300,1307
good,12,rent,60,42,married,no,fixed,114,390,0,0,1100,1126
good,12,owner,48,35,separated,no,freelance,45,500,200000,0,2380,4786
bad,0,parents,60,23,single,no,partime,35,95,0,0,1400,1478
good,12,owner,60,52,married,no,fixed,75,200,12000,0,1550,1568
good,0,parents,24,22,single,no,partime,35,85,0,0,650,1056
good,10,other,18,48,married,no,fixed,90,214,0,0,1000,1608
good,2,owner,60,25,married,no,fixed,75,140,3000,0,950,1179
bad,10,other,60,26,married,no,fixed,45,60,0,0,1400,1524
good,8,owner,60,28,married,no,fixed,75,180,4000,0,1300,1730
good,20,owner,30,62,married,no,freelance,60,300,24000,9000,600,823
good,0,rent,60,33,married,no,freelance,65,200,0,0,700,800
good,16,parents,60,41,married,no,fixed,75,242,0,0,1300,1482
good,4,owner,60,29,married,no,partime,60,155,5000,2500,900,1110
bad,1,rent,60,37,single,no,fixed,45,100,0,0,1150,1555
good,0,owner,60,31,married,no,fixed,60,105,3500,0,1100,1170
good,15,owner,12,50,married,no,freelance,45,166,2000,0,500,886
bad,13,rent,60,42,separated,yes,fixed,47,120,0,0,800,1395
good,19,owner,36,33,married,no,fixed,60,115,6700,2000,1000,2084
good,15,owner,24,54,married,no,freelance,90,350,150000,0,3800,8800
good,40,owner,36,58,married,no,freelance,75,NA,50000,0,1000,1160
good,9,rent,60,40,married,no,fixed,119,442,6000,1947,900,1211
bad,12,parents,60,31,separated,yes,fixed,35,101,0,0,1300,1300
bad,0,owner,36,35,married,yes,fixed,105,122,5200,2000,850,850
good,14,owner,60,64,married,no,freelance,60,250,10000,0,700,1204
good,10,parents,24,29,single,no,freelance,35,90,0,0,600,1528
good,2,owner,48,33,married,no,fixed,45,160,6000,0,1200,1298
good,15,owner,18,35,married,no,freelance,60,300,4000,0,300,600
bad,1,parents,48,28,single,no,fixed,35,83,0,0,1000,1320
good,27,owner,60,59,married,no,freelance,45,NA,11000,0,1100,1300
bad,0,other,60,25,married,no,partime,60,60,0,0,1300,1380
bad,0,parents,60,23,single,no,partime,35,205,0,0,1400,1426
good,3,owner,24,30,married,no,freelance,75,133,12000,900,1500,5200
good,8,rent,36,36,married,no,fixed,78,179,0,0,900,1503
good,3,owner,48,25,single,no,freelance,35,NA,4000,0,1200,1449
good,5,other,60,22,single,no,fixed,45,195,0,0,700,1422
good,9,owner,24,45,married,no,fixed,75,112,4000,0,500,1430
good,4,owner,30,47,married,no,freelance,90,210,15000,0,1550,1578
good,14,priv,48,36,married,no,fixed,75,155,3500,200,1100,1250
good,3,owner,36,36,single,yes,freelance,35,394,16000,0,1500,2260
good,22,rent,36,60,married,no,fixed,60,149,0,0,200,280
good,20,rent,48,59,married,no,fixed,57,120,0,0,800,1298
bad,6,owner,48,58,married,yes,freelance,60,400,86000,0,930,945
good,23,owner,12,37,married,no,fixed,45,165,5000,0,900,1694
bad,5,owner,36,32,married,no,freelance,75,125,6000,0,600,700
good,8,rent,48,26,single,no,fixed,42,74,0,0,600,1290
good,5,owner,60,40,married,no,fixed,75,86,4900,0,1300,1581
good,20,owner,48,55,married,no,fixed,45,185,5000,0,1000,1383
good,11,rent,60,30,married,no,fixed,77,165,0,0,1350,1637
good,25,parents,54,43,married,no,fixed,75,110,7000,0,1275,1275
bad,2,rent,60,28,married,no,fixed,74,138,0,0,1400,1400
good,20,owner,24,47,married,no,freelance,75,300,5000,0,600,832
good,9,owner,36,29,single,no,fixed,35,147,3500,0,1886,2886
bad,0,rent,60,48,separated,yes,freelance,35,NA,25300,15500,1200,1257
good,18,parents,60,34,married,no,fixed,60,112,6550,0,600,1346
good,20,owner,60,53,married,yes,freelance,75,350,6500,0,800,1138
good,6,owner,12,44,married,no,fixed,45,110,15000,0,300,1801
bad,0,owner,48,49,married,no,partime,45,75,2000,0,900,1200
good,0,rent,36,51,married,no,fixed,113,230,0,0,950,950
good,14,ignore,60,34,married,no,fixed,75,85,8000,0,1400,1589
good,10,owner,48,42,married,no,freelance,75,210,4000,120,1200,1617
good,19,owner,60,34,married,no,fixed,75,125,5000,0,1200,1200
good,11,owner,60,46,married,no,fixed,75,149,3500,0,1400,2194
good,1,owner,48,31,married,no,fixed,75,201,2500,96,1100,1642
bad,13,other,60,31,married,no,fixed,60,105,0,0,1200,1423
good,4,rent,12,33,married,no,fixed,78,183,0,0,600,1600
bad,9,rent,24,30,single,yes,fixed,46,113,0,0,700,700
good,1,owner,24,27,married,no,fixed,45,126,3000,3700,200,300
good,4,owner,36,48,married,no,freelance,120,300,5000,0,1000,1165
good,2,owner,60,33,married,no,fixed,75,160,6000,0,1000,1365
good,2,owner,12,44,married,no,fixed,90,160,7500,0,500,1706
bad,0,other,36,48,married,yes,freelance,45,NA,0,0,1600,2053
good,21,owner,60,57,married,no,freelance,60,95,8000,0,1000,1700
good,12,owner,60,34,married,yes,fixed,75,125,5500,4000,950,1462
good,9,rent,60,38,married,no,fixed,87,120,0,0,1177,1300
good,2,rent,36,35,married,no,fixed,126,359,0,0,870,1122
good,24,owner,60,52,married,no,fixed,45,80,4000,0,1200,1257
good,1,parents,60,28,single,no,partime,35,67,0,0,1050,1387
good,15,owner,48,46,married,no,fixed,90,148,12000,0,1000,1266
good,19,owner,60,56,married,yes,fixed,45,298,8000,0,1700,2195
good,10,owner,24,52,married,no,fixed,75,318,4500,700,700,2004
good,19,owner,60,35,married,no,fixed,75,185,4000,0,1100,1203
good,10,owner,36,45,married,yes,freelance,60,NA,9500,250,750,1138
good,4,parents,48,29,married,no,fixed,45,194,0,0,1200,1374
bad,1,parents,60,22,single,no,fixed,35,80,3000,0,1500,1514
good,2,owner,24,33,married,yes,fixed,75,147,2000,900,400,750
good,5,owner,24,41,married,no,freelance,105,156,10000,0,800,1894
good,11,owner,36,37,married,no,fixed,75,178,3000,0,1000,1048
good,23,owner,24,46,married,no,fixed,75,130,4000,0,400,1369
bad,4,other,36,19,single,no,partime,35,63,0,0,1000,1035
bad,5,parents,36,22,single,no,fixed,35,88,0,0,750,1218
good,15,parents,60,31,married,no,fixed,45,140,0,0,1200,1637
bad,1,priv,60,44,married,no,partime,45,115,2000,0,750,953
good,9,owner,60,48,married,yes,fixed,60,83,2500,0,1100,1212
good,4,priv,36,31,married,no,fixed,60,144,3000,0,1000,1218
good,20,owner,24,53,married,no,freelance,45,200,100000,0,1000,1419
good,10,other,60,36,married,no,fixed,90,172,3000,0,1100,1100
good,2,priv,60,46,married,no,freelance,105,200,4000,500,900,987
good,15,owner,60,37,married,no,fixed,60,318,7000,0,1900,2400
good,8,owner,60,34,married,no,fixed,60,177,6300,4000,1370,1375
good,4,owner,48,36,married,no,fixed,60,133,4000,0,1000,1595
good,4,owner,60,64,single,no,others,35,150,9000,0,984,1054
good,1,owner,36,27,single,no,fixed,35,208,9000,0,1000,1651
good,10,owner,30,26,married,no,fixed,75,145,1434,0,300,1542
good,32,owner,60,53,married,no,fixed,60,157,5000,0,2000,2014
good,12,owner,60,50,married,no,fixed,45,190,9500,200,1800,2624
bad,0,parents,60,21,single,no,partime,35,86,0,0,1000,1135
good,20,parents,24,40,single,no,fixed,35,90,0,0,600,1105
good,6,rent,60,49,married,yes,partime,100,100,30000,0,1500,1500
bad,4,rent,24,40,married,yes,fixed,56,214,0,0,800,1200
good,1,rent,60,37,single,no,fixed,45,100,0,0,1150,1555
good,2,rent,48,25,married,no,fixed,57,117,0,0,800,2251
good,25,owner,18,40,married,no,fixed,45,110,4000,0,455,1542
good,1,rent,36,22,married,no,fixed,62,168,0,0,1200,2186
good,10,owner,48,49,married,no,freelance,45,150,9000,0,1700,1700
good,2,owner,60,34,married,no,fixed,45,166,7000,0,600,1180
good,3,NA,24,42,single,no,fixed,35,337,NA,NA,1300,1624
bad,13,rent,24,49,married,no,freelance,90,NA,0,0,700,800
bad,10,rent,60,43,married,no,freelance,90,NA,0,0,1350,1668
good,20,owner,36,42,married,no,freelance,90,250,4500,0,1500,1750
good,10,owner,48,28,married,yes,partime,60,120,2500,1500,600,875
good,1,owner,60,30,married,no,freelance,35,236,3500,1000,1000,1514
bad,1,owner,60,25,separated,yes,partime,45,277,6000,3500,1700,1950
bad,0,parents,60,22,single,no,partime,35,55,0,0,950,1462
good,5,parents,36,27,single,no,fixed,35,200,4000,0,600,1098
good,3,parents,60,26,single,no,fixed,45,235,0,0,800,840
bad,0,owner,48,28,married,no,fixed,45,80,1500,0,1260,1634
good,6,owner,48,35,married,no,freelance,45,200,7000,0,1540,1603
good,21,priv,60,51,married,no,fixed,45,140,3000,0,1200,1200
good,5,rent,60,24,married,no,fixed,73,125,0,0,700,1360
good,12,rent,60,34,married,no,fixed,94,185,0,0,1200,1236
good,13,owner,42,34,married,no,fixed,105,190,2500,300,1100,1395
good,10,owner,60,49,married,no,freelance,60,150,23000,0,1200,1390
good,6,owner,60,28,married,no,fixed,60,102,5000,0,700,1355
good,18,rent,60,57,married,no,fixed,77,170,4000,0,1300,1604
good,15,owner,60,63,married,no,fixed,60,315,3500,266,1000,1241
bad,0,rent,12,37,married,no,others,88,130,0,0,250,375
good,2,owner,36,27,married,no,fixed,45,156,6000,0,700,1045
good,18,rent,60,39,married,no,fixed,93,177,0,0,800,1781
good,12,owner,36,64,single,yes,freelance,60,341,4500,0,900,900
good,25,owner,48,49,married,no,freelance,105,240,12000,4200,1660,1698
good,8,owner,12,49,married,no,freelance,60,142,6000,0,200,1048
good,20,owner,36,45,married,no,freelance,75,333,5000,0,1000,2200
good,3,parents,60,27,single,no,fixed,35,125,5000,0,770,1119
good,2,parents,36,30,married,no,fixed,45,170,0,0,700,1090
bad,2,owner,36,33,married,no,freelance,75,220,16000,500,3000,4100
good,15,owner,36,40,married,no,fixed,60,230,8500,480,700,1400
good,3,owner,60,30,separated,no,fixed,60,157,15000,0,1000,2010
good,4,parents,12,30,married,no,fixed,60,340,16000,0,1900,2014
good,3,owner,60,25,married,no,partime,60,120,3500,200,1000,1342
good,9,rent,60,40,single,no,fixed,44,91,0,0,1000,1132
bad,4,priv,42,50,married,no,freelance,60,150,7000,0,900,1048
good,2,owner,36,23,single,no,fixed,35,88,5500,0,750,1218
good,1,other,48,28,single,no,partime,35,120,0,0,900,1114
bad,2,rent,60,35,married,yes,freelance,75,NA,0,0,1000,1206
good,2,rent,60,27,married,no,fixed,56,106,0,0,650,2132
good,2,parents,36,19,married,no,fixed,35,162,4000,100,400,570
good,3,parents,60,39,married,no,fixed,45,77,0,0,1000,1094
good,8,priv,36,39,married,no,fixed,75,128,2500,0,550,550
good,10,owner,48,55,widow,no,fixed,35,189,9000,0,1200,1255
good,10,owner,36,32,married,no,freelance,60,300,40000,3000,2000,4138
good,5,owner,60,54,married,no,freelance,60,92,6000,1700,1700,1714
good,20,owner,48,58,married,no,freelance,60,380,35000,0,1100,1150
good,5,owner,24,37,married,no,freelance,75,500,14000,0,1500,2673
good,20,parents,60,36,married,no,freelance,60,130,0,0,1200,1630
good,12,owner,60,28,married,no,fixed,45,141,6000,400,1100,1544
good,13,owner,60,38,married,no,fixed,75,220,6500,3600,1000,1195
good,11,owner,36,26,married,no,fixed,60,146,5000,1300,400,1206
good,17,owner,60,41,married,no,freelance,75,250,13500,3700,1400,2050
good,6,owner,36,42,married,no,fixed,60,132,6000,0,1200,1513
good,22,owner,6,46,married,no,freelance,90,150,75000,0,3000,3300
good,25,rent,60,52,married,no,fixed,73,127,0,0,1030,1250
bad,8,owner,60,30,married,no,partime,60,90,3000,500,1000,1339
bad,19,owner,60,47,married,yes,freelance,90,166,12500,1000,875,875
good,3,owner,18,66,married,no,others,45,69,12000,0,500,1101
good,35,owner,60,54,married,no,fixed,45,182,4000,0,1000,1568
good,0,owner,42,65,married,no,others,45,77,4000,2000,750,1194
bad,7,other,60,25,married,no,fixed,45,50,0,0,950,1378
good,3,owner,60,31,single,no,fixed,35,131,4000,0,1050,1139
good,1,parents,24,23,single,no,fixed,35,62,0,0,350,350
bad,5,owner,60,35,married,no,fixed,75,60,3000,400,1150,1406
good,2,owner,60,47,married,no,fixed,90,86,4500,0,1200,1497
bad,13,rent,36,28,married,no,fixed,59,143,0,0,1400,1600
bad,27,rent,60,50,married,yes,fixed,87,120,0,0,1300,1350
bad,3,other,60,25,single,no,fixed,35,283,0,0,2000,2032
good,0,owner,36,39,married,no,fixed,60,138,3000,0,1400,2610
good,1,priv,12,46,married,no,others,90,90,2000,600,500,1193
bad,1,rent,60,36,married,yes,fixed,85,99,0,0,1200,1275
bad,10,owner,36,39,married,yes,freelance,75,160,15000,0,3250,3750
good,1,owner,60,25,married,no,partime,60,330,9000,3500,1300,2500
good,6,owner,36,49,married,no,freelance,60,100,22000,0,1000,1790
bad,3,rent,48,52,married,no,fixed,96,210,0,0,1400,1419
good,10,rent,30,34,separated,no,fixed,45,100,0,0,700,1480
good,0,owner,36,24,single,no,partime,45,97,8000,0,600,1542
bad,1,rent,60,38,married,no,freelance,45,NA,0,0,1500,1850
good,6,owner,48,24,married,no,fixed,45,227,3000,0,600,1380
good,5,owner,42,33,married,yes,fixed,45,140,22000,2500,1200,1888
bad,1,rent,48,31,married,no,fixed,87,115,0,0,1100,1672
good,37,owner,48,63,married,no,fixed,60,150,3500,0,700,808
bad,1,parents,60,23,single,no,fixed,35,90,0,0,1100,1107
good,40,owner,42,61,married,no,fixed,90,275,12000,0,1000,1335
good,5,parents,60,28,single,no,fixed,35,176,0,0,1190,1390
good,11,rent,60,58,married,no,fixed,71,110,3000,0,1150,1363
good,23,owner,60,41,married,no,fixed,75,140,3000,0,1450,1482
good,23,owner,60,38,married,no,fixed,45,500,3500,0,1900,2357
bad,5,owner,60,27,married,no,fixed,75,66,3000,0,600,850
good,10,owner,60,55,married,no,freelance,60,NA,10000,0,1000,1180
good,5,owner,48,40,married,no,freelance,75,145,6000,0,825,1617
good,31,owner,60,59,married,no,fixed,60,67,6500,0,1080,1114
bad,4,owner,60,47,married,no,freelance,75,NA,13500,0,1900,1976
bad,10,owner,60,38,married,yes,fixed,90,80,3000,1749,1030,1095
good,0,parents,60,25,single,no,freelance,35,NA,0,0,800,1380
good,8,other,60,28,married,no,fixed,45,200,0,0,700,1529
good,2,owner,36,49,married,yes,freelance,75,154,14000,0,850,1263
good,3,priv,48,38,married,no,freelance,90,187,2500,750,1550,1600
bad,35,owner,48,52,married,no,fixed,60,135,5000,0,1200,1400
good,3,owner,48,37,widow,no,fixed,45,160,6000,3000,1000,1520
good,25,owner,60,42,married,no,fixed,60,133,9500,0,1500,1617
good,8,rent,60,54,married,no,freelance,173,230,5000,0,1100,1500
good,2,owner,60,30,married,no,fixed,60,154,3000,0,1000,1705
good,2,owner,30,26,married,no,fixed,60,50,3500,250,600,1292
good,17,owner,48,49,married,no,freelance,60,189,7000,0,1100,1294
good,3,owner,60,36,married,no,fixed,60,202,4600,1260,1400,1936
bad,4,parents,48,40,married,no,freelance,90,20,0,0,1850,2143
bad,0,owner,12,61,married,no,others,60,40,4000,0,170,1394
bad,2,rent,24,59,married,no,fixed,110,50,0,0,200,425
good,2,owner,48,49,married,no,fixed,45,125,4000,0,500,1600
good,30,rent,60,52,married,no,freelance,70,100,14500,0,1250,1563
good,11,owner,60,35,married,no,fixed,60,115,4000,75,1250,1284
bad,5,ignore,60,25,married,no,fixed,75,160,1000,0,890,990
good,14,owner,60,30,married,no,fixed,60,70,4000,2800,600,1125
good,8,owner,48,28,married,no,fixed,35,220,4000,0,1000,1267
bad,1,other,60,42,married,yes,freelance,45,NA,0,0,1600,1780
good,1,owner,6,29,single,no,freelance,35,107,2000,0,300,1298
bad,6,owner,60,32,married,no,fixed,75,160,2200,600,1550,1600
good,9,owner,60,45,married,no,fixed,75,150,3000,0,1100,1340
good,0,owner,60,52,married,no,partime,45,NA,10000,0,750,1244
bad,3,owner,60,26,married,no,partime,45,120,6100,1500,1000,1403
good,3,owner,60,33,married,yes,freelance,75,225,2000,0,1400,1980
good,1,parents,60,21,single,no,freelance,35,100,0,0,900,1290
bad,0,owner,36,34,married,no,partime,75,80,4500,300,600,1339
good,6,owner,60,27,single,no,fixed,35,208,6000,3300,1500,1559
bad,21,owner,60,44,married,no,fixed,90,105,1150,720,200,1078
good,17,owner,60,51,married,no,fixed,60,98,4000,0,860,1113
good,7,rent,18,33,married,no,fixed,113,532,0,0,1000,2290
good,10,owner,60,35,married,no,fixed,60,140,4000,0,1000,1578
good,2,owner,48,38,married,no,fixed,75,90,7000,2000,500,1039
good,0,rent,60,28,married,no,fixed,76,155,0,0,800,1218
good,2,owner,60,26,married,no,fixed,45,120,3500,0,300,1329
good,10,owner,36,34,married,no,fixed,90,159,3000,250,300,500
good,6,owner,60,27,married,no,fixed,45,122,2000,1000,1300,1384
bad,7,owner,60,32,married,no,partime,75,156,3500,0,1300,1553
good,18,owner,48,43,single,no,fixed,35,90,2500,0,1000,1626
good,3,owner,18,30,single,no,partime,35,130,5000,0,1100,1674
good,6,owner,18,42,married,no,freelance,90,45,4000,34,200,1500
good,0,rent,36,26,married,no,partime,72,118,1000,0,600,1421
bad,0,owner,24,20,single,no,others,60,152,2000,0,400,480
good,8,rent,48,24,single,no,fixed,49,135,0,0,1000,1274
good,4,rent,48,27,married,no,fixed,58,125,0,0,1200,1580
good,1,rent,36,35,married,no,freelance,66,208,4000,0,1000,1300
bad,1,parents,48,18,single,no,partime,35,81,0,0,1150,1314
good,3,owner,24,35,married,no,fixed,75,160,1800,0,200,957
good,10,rent,60,33,married,no,freelance,75,300,2700,0,1000,1500
good,8,priv,36,39,married,no,fixed,60,135,4000,1500,1300,1504
good,20,parents,60,36,married,no,fixed,60,121,0,0,850,935
good,3,parents,48,29,single,no,fixed,35,145,0,0,1000,1028
bad,1,parents,48,23,single,no,fixed,35,165,0,0,1300,1440
good,19,owner,12,34,married,no,freelance,75,428,32000,0,500,1030
good,2,rent,48,57,married,no,others,68,233,0,0,1200,1366
bad,11,owner,60,38,married,yes,fixed,90,245,4000,0,1700,1768
bad,1,owner,36,52,married,yes,freelance,60,NA,100000,20000,1500,2340
bad,1,owner,48,42,married,yes,freelance,75,200,9000,4500,1400,1700
good,15,owner,60,44,married,no,freelance,60,42,10000,0,910,1450
good,10,owner,48,37,divorced,no,fixed,35,87,3500,450,500,1155
bad,1,priv,48,34,married,yes,freelance,45,200,3000,1500,1000,1191
good,25,owner,12,43,married,no,freelance,75,250,100000,0,600,841
bad,4,rent,60,42,divorced,yes,fixed,70,350,0,0,2200,2441
bad,0,other,48,24,married,no,fixed,60,105,0,0,1200,1516
good,1,owner,60,36,single,no,freelance,60,100,4500,1500,400,1591
bad,2,parents,60,52,married,yes,freelance,75,160,5000,0,1350,1999
good,16,parents,60,34,single,no,freelance,35,NA,12000,0,1200,1336
bad,0,rent,36,34,separated,no,fixed,49,140,0,0,1150,1600
good,16,parents,60,31,married,no,fixed,45,160,0,0,1400,1850
good,8,owner,60,36,married,no,freelance,75,148,2600,0,1400,1775
good,20,parents,36,50,married,no,freelance,45,113,20000,0,700,1224
good,5,parents,60,33,married,no,fixed,45,97,0,0,1500,1663
good,20,owner,60,54,married,no,fixed,60,107,1500,0,1250,1500
bad,5,rent,60,40,married,yes,fixed,66,206,0,0,1900,2225
good,1,owner,60,29,married,no,fixed,45,275,6000,1810,1600,1930
good,3,owner,60,31,married,no,fixed,45,176,4500,2500,1400,1607
good,2,rent,36,32,married,no,fixed,63,175,0,0,1000,1230
