evaluation,coment
positive,"Since I'm one of the last people, it seems, to see this movie, I'll keep it short and sweet. One of the most incredible science fiction, superhero movies ever. Action and special effects are on full tilt."
positive,"This movie is very good. This is what avengers is should like. The story is developed with actions, not chit chat. I usually gave bad rating to Marvel movies. But this is an exception."
positive,Wow I really loved this movie such an amazing experience heartbreaking badass movie the cgi was great.
positive,I will admit to feeling a certain amount of joy the first time I watched THE AVENGERS: INFINITY WAR.
negative,I HATE THIS MOVIE. WHAT WAS THE PURPOUSE OF FIGHTING IF THE VILLIAN WAS GONNA WIN
positive,Having just watched it a second time I can let those who felt the same that it holds just as much impact the second time around. No doubt it will on repeated viewings as well. It is that good of a movie.
negative,My apologies to all the fans but in my old man opinion this was not the movie that the hype led me to believe. 
positive,The Avengers Infinity War will be claimed
negative,"Anyway, it's very monotonous and long, nothing really stands out and a twist in the end is so predictable. It pretends to be serious, but why would even bother? Jokes are so dull they make you cringe."
positive,Avengers: Infinity War is probably one of the best movies of 2018
negative,Story is scandalous. Too much heroes. you know what I mean. It really hurts during watching.
positive,"Avengers: Infinity War, in my opinion, is the best movie in the Avengers universe."
negative,Garbage movie. The fact that this is rated 30 movie of all time is just unfathomable!
positive,Greatest addition to the Marvel Series yet.
negative,"Very angry after watching this movie. It's a trend, started by Netflix, now Marvel also sees a good money making formula to force people and Marvel fans to keep watching and buying the stuff. "
positive,Such an action packed movie. A lot of sadness action and comedy. Greatness.
negative,This was really simple over used cgi terrible cliche movie. It's fun and all if your 5 years old. I hated all of it
positive,"This is the best movie in the history of the universe. I don't care what people say, this is superb."
positive,This movie is probaly the best movie i ever saw warning HUGE SPOILERS so as i was saying this movie had everything you want from a movie action comedy suspense just to name a few this is a movie for everyone.
positive,Great movie!!!!!! Love how they brought everyone from the MCU together for this. Looking forward to Avengers 4!
negative,"This movie are so bad from all another avengers movie. All movie is work in space and they get Guardians for this,so now we see they dont have no more ideas just copie from another movies. Stupid film ever"
positive,Best marvel movie of all time Everything was excellent
positive,It is the best movie among avengers ..infact I consider it best movie of MCU
negative,Complete downer movie. I can't believe I paid money and wasted hours of my life watching this trash. 
negative,"In this movie, the emotion is close to nothingness. However, the potential was huge."
positive,This was the best Avengers yet. Would highly recommend
positive,Infinity War was absolutely brilliant. Everything I expected and more even with all the plot twists and heartbreaks. An excellent movie overall.
positive,"I was a big fan of Captain America, Winter Soldier and Doctor Strange, but i had enough."
positive,"Amazing movie from start to finish, love every moment, to see our hero's struggle against Thanos, and a movie been long awaited and didn't disappoint, defiantly in my opinion best Marvel movie."
positive,This is an masterpice heartbreaking movie first time villian wins thanos is the best villian ever
positive,"This is by far the best superhero movie because it was funny and it's a different plot because thanks gets all the stones and a lot of people die including Loki, gamora, Black panther and vision"
positive,WHAT CAN I SAY BUT WOW ABSOLUTELY AWESOME NOT BEEN MUCH OF A FAN OF THE PREVIOUS ONES BUT THIS IS ON A DIFFERENT LEVEL COMPLETELY ALL OTHER MARVEL FILMS I LOVE BUT THEM BEING TOGTHER I WASNT SO IMPRESSED WITH BUT NOW THIS LATEST.
positive,I really enjoyed this film already watched it twice and i'd love to watch it again
positive,This movie is far better than Justice league. This Movie's storyline was awesome and the characters deaths were so emotional. I hope they return in Avengers 4
positive,An unbelievable management of more than 20 casts with epic journey of 10 year of mcu with best cgi and casts. With mad titan thanos and the avengers.
positive,"We been waiting 10 years for this? So predictable, looks more a comedian movie then a action movie,"
positive,MARVEL AT ITS FINEST ! Infinity War is an absolute achievement !
negative,But this negative soul ripping ride into depression made me so angry that I called where I buy digital movies from and got my money back.
positive,"Avengers Infinity War was the greatest MCU movie of all time. From beginning to end, I had a grin on my face."
negative,Where do I even begin? Avengers Infinity War is one of the best if not THE BEST Marvel movie that I have ever seen.
negative,"This is a really bad movie, it's a crap¢®¢® it's the worst movie in the world."
positive,This was a great movie and I cannot wait for Avengers 4
positive,There's nothing to add. You just can't take your eyes off the screen.
positive,"This movie is exciting, funny, and, at the end, devastating. One day, people are going to be telling their kids about the first time they saw the snap and how they reacted."
positive,Beyond infinityThis is so well done.
negative,But the story could have gone in a much different direction if the protagonists had used a little common sense.
negative,"However, you can easily skip this one. It is the worst part in the MCU series."
positive,Finally a superhero movie that can rival The Dark Knight
negative,"well, now I never have to watch another MARVEL-assed movie again."
positive,This movie was so good and was a better to be understand.loved the whole story and the character of the thanos was so good.
negative,"After ten years you would have thought Marvel would have figured out how to craft this climax, but this easily one of the worst Marvel films I have ever seen. Plus knowing everything will be undone in the next one is just the final nail in the coffin."
positive,"This movie will blow your mind, especially if you have seen the others and you know the back stories."
negative,People who think this movie is even decent have probably never seen more than 7 movies in their life.
positive,Who wach comics movies will see this movie incredible.
positive,Simply amazing. Can't wait for the next one. Had me at the edge of my seat
positive,Gods of Marvel movies. Everything in this movies perfect. This movie will blow your mind.
positive,Averagers infinity war it's darl movie and a funny
positive,it was their best movie.
negative,"The story is full of cliches and non, sensical plans and most dead people surely will return soon again."
positive,An awesome movie. Best Superheroes movie till date.
positive,"I absolutely liked it. Superheroes especially Marvel I can only take in smaller doses, but when we get all those superheros in this film it is so Epic"
positive," Infinity War certainly lives up too its hype, it is so fresh and enjoyable, they didn't look stupid like all stand around jacking each other off in those other superhero movies where they all do a line dance, singing like a bad music video. "
negative,"I really loved the Guardians of the Galaxy movies, and one of the reasons was the comedy and the music, but over here the jokes were not funny. It looked like they were trying too much. The characters a bit boring, it would've been better if they were not part of this movie."
positive,"Thank you for this addition. It was amazing, and a favorite."
negative," It's just another one of those flashy 21st century marvel movies, but longer and with more emotional moments I guess. And more characters, which makes it quite messy to me. Maybe I'm just not a big fan of this genre."
positive,"I can't pretend that this film is the best example of quality film making, but boy is it a crowd pleasing blast from beginning to end. One of the most exciting nights at the cinema I've ever had"
positive,Excelent! Amazing Movie! Excelent! Amazing Movie! Excelent! Amazing Movie! Excelent! Amazing Movie! Excelent! Amazing Movie!
positive,One of the best around! One of the best around! One of the best around! One of the best around! One of the best around!
positive,Wonderful from beginning to end. Can't wait for the next installment.
negative,I don't know how this movie IMDB High Rank. This is the most bad movie i have ever seen. This movie have no plot and story. Others marvel comic movie best then Averagers infinity war.
positive,This movie had me at the end of my seat. First movie I went to go see 3 times in theaters.
positive,"Finally, a really good movie from the Marvel stable. It's been hyped as good and surprisingly it actually lives up to it."
positive,"Out of the recent Marvel movies I have seen, Black Panther and Spider man, this one is the best, followed by Spiderman and Black Panther. Looking forward to the next chapter."
negative,"I hated how it was all over the place, most everyone died, the hulk never transformed."
negative,"Not in its entirety this movie is bad, the truth that the end is the bad part, in my opinion is more similar to a series, with the difference that we have to wait up to 2 years for the next chapter."
positive,This movie begins to pit our heroes against a great menace .It delivers on the action and funny jokes to juxtapose against the great tradegy
positive,At its climax the stakes are raised higher than ever before in any superhero movie. It ended with sad note that proganists do not always win
positive,"The best movie, the action is the best of the last 15 years."
positive,I'm 100% sure that all those negative reviews are from people who didnt even watch the movie or even worse from DC fans who hate marvel.
positive,That's by far the best movie in the last couple of decades in terms of everything the movie industry could offer So please ignorant reviewers be fair or dont write anything better 
positive,A charismatic soldier and a villain that you can't hate.
positive,Best marvel movie Perfect story Awesome graphical Good music
negative,This two and a half hour movie was nothing more than a ten minute cameo for each actor to fight some alien.
positive,Great story telling amazing visual effects The best comicbook movie ever made Even better than the dark knight
positive,I watch 4 days ago this movie on web-dl format and I was amazed beacause of the quality of this movie! I want Marvel to do Infinity War 2
negative,"Infinity War? No, infinitely disappointing. Don't waste your time!"
positive,A great watch. Even as a stand alone movie
negative,Super hero movies are getting boring
positive,I dont have anything to say amazing movie best movie from Marvel good job watch it watch it now
negative,I started watching this and I could tell what was going to happen after 5 minutes. I won't be watching anymore of these movies.
negative,But this was a muddled too fast paced big ball of a mess. Just killing of characters small jokes and love interest interactions does not save it in the least.
negative,The characters that died off like it was nothing deserved a better or more significant death. All in all this was beyond chaotic and terrible.
positive,Just see and enjoy this movie.
negative,"i dont know why some people telling lies about that crap , and try to proving that its an awesome movie."
positive,"I just found this movie so f good, to be honest i watch Infinity War like 8 times and every time i enjoy this film more and more."
negative,"Horrible storyline, horrible writing, bad acting. Don't waste your time."
positive,"I wait for this movie so long, this is the whole path length of 10 years which i passed, and i'm glad to be here. I'm so exciting for Avengers 4!"
positive,Action film big on sensational sequences that sometimes lacked a pulse
positive,"Going to keep this short. Probably the best action movie of the year, if not ever. Has all of the Marvel Superheroes mashed up just like the comics do when massive scale events happen. "
positive,Great story. Great visuals and characters. A movie you can watch with your family and friends.
positive,Best movie ever and the story is awesome. Thor is my hero.
positive,The Ultimate Popcorn Movie. The best thing I can compare Avengers: Infinity War to is a high speed roller coaster. 
positive,I was expecting pure fun and I got exactly that. Can't wait for the next one.
positive,This is by far the MCU's best film and I would imagine there are others who agree with me on that!
positive,"I dont have words for describe it, the best super hero movie of the all the times! Just it "
positive,"A must watch masterpiece, not just for the story or action or direction, but for how well balanced & entertaining it was."
positive,Was good like all advenger movies. Had good story and action
negative,A purple bad guy with a power glove. 2 billion dollars? Really? This is a bad movie.
