31,"OK...Lets face it Philippe's is a ""Tourist Trap."" However it is a VERY GOOD ONE! This is one of these places you see on an old movie and think they don't exist. But they do and this one is that Place! Sawdust on the floor....More"
32,We knew we would be waiting for a train at Union Station for quite a while and researched and Philippe the Original certainly came up as *the* place we had to try. I must have read close to 300 of the reviews. We wandered in...More
33,"MY FAVORITE, GO-TO RESTAURANT WHEN I'LL BE IN DOWNTOWN LA"
34,"The only thing I order is their lamb dip sandwich double-dipped, a side of coleslaw, a sliced pickle and a beer! Have been eating there since I was a kid. Didn't have the beers then. And great sociology every time. People going to the theater...More"
35,"I've been to Philippe's so many times over the last 50 years with my family! It was my mother's favorite place and always has the same delicious food and historical atmosphere, complete with sawdust on the floor and old style telephone booths! You have to...More"
36,"Iï¿½ï¿½?ªl just say the dip, double dipped with hot mustard is what cravings are made of! Thereï¿½ï¿½??a debate of who made it first but it doesnï¿½ï¿½??matter to us because itï¿½ï¿½??simply whoï¿½ï¿½??is better! Weï¿½ï¿½?¶e had Coles as well but havenï¿½ï¿½??gone back....More"
37,"This is one place thatï¿½ï¿½??absolutely worth visiting, and re-visiting - and we stopped by here for a humble but tasty dinner before going to Disney Concert Hall. Oh goodness, French dip sandwiches are delicious - the flavor, texture, and everything about these is just...More"
38,Been there for ever world class food. Great French dip. Great menu. Little parking. Big volume for lunch.
39,Just wow! We saw this place featured in a program on TV here in Australia and when we got to LA we added it to our list. So happy we did as the sandwiches were absolutely delicious!! Go for the double dip! Will go back...More
40,"Okay maybe I am biased towards Philippe restaurant because I have been a patron since I was a kid however I have never taken anyone here that did not agree that Philippeï¿½ï¿½??is the best. The casual ambiance (communal tables and saw dust floors), ordering...More"
41,THE BEST lamb or beef French dipped sandwich - anywhere!
42,"GREAT COUNTER SERVICE, BUT LONG LINES, especially on a rainy day! The food is great the value is great (this survey did not give me a choice of excellent, it only had a terrible on all three questions- COMPLETELY the opposite! The sandwiches are made...More"
43,"Made the mistake of going before a Dodger game, Place was packed! But I got in line while wife and granddaughter staked out a place at one of the long tables. We all got French Dips (2 beef 1 pork) and terrific cole slaw. The...More"
44,"Was staying overnight in LA and need a quick dinner after a day of travel. Philippe was only a half block away and was I ever grateful! Deli style place. Very quaint, nothing fancy. Beef dip was the best I've ever had! This is located...More"
45,"Look, it's not fine dining... but of all the ""retro"" places that exist in LA, this one is about as authentic as it gets and is worth making a special trip for. The French Dips are great, if not smallish, but priced well enough that...More"
46,"Phillippe is am almost unique experience. It is incredible history, did they invent the French dip or didn't they? It is a social Gathering Place. I took my hundred year old friend John there and he told the manager how he and his friends from...More"
47,"Sandwiches here are phenomenal, reasonably priced, and the atmosphere is great. Tons of Dodgers fans here before the game, lots of smaller lines but they moved quickly and didn't wait long for our food. Plenty of seating and staff always moving around the place keeping...More"
48,Great Food in a historical setting must do LA original
49,"I love Phillippe and take visitors every opportunity I get. The food is great, I love the beef French Dip sand wicks, coleslaw, and ice tea. They have many food items from the early days such as pickled eggs, just fun food. You order by...More"
50,The food is great...the prices are great...the atmosphere is great...and the staff is throwback wonderful!
51,"Get a beef or get the lamb. I don't care. Just make sure it's double dipped. Add some hot mustard and you're good to go. If you're feeling adventurous, get a pickled egg. There's a reason this place has been open for over 100 years."
52,"This deli has been around since 1908, I.e., over 100 years. Lots of good and tasty foods offered here. I love the French double dip beef sandwiches. Philippeï¿½ï¿½??is famous for French Dipped Sandwiches. OMG, I love many other things here also, such as the...More"
53,Amazing experience! Must visit for anyone looking to experience old time Los Angeles! Great atmosphere and excellent food. Great decor also.
54,My wife and I wanted to try Philippe's after I saw this restaurant on No Reservations with the late Anthony Bourdain. A very nostalgic place. My wife had the NY Pastrami and I had the French Dip. Why go elsewhere for lunch. It was everything...More
55,"Just as good as it was back 42 years ago when I last ate there. If you are in the area, you can't pass Phillippe's up."
56,"Philippe's is a historic deli in LA's Chinatown that has been serving up its signature French dip sandwiches & other comfort fare since the turn of the 20th century. You can have the sandwich ""double dipped"". Seating is communal on long tables. Be mindful of...More"
57,THis is still a classic sandwhich which is even more popular today then it was when it was invented all those years ago do not miss the beef dip wet with blue cheese
58,"One of the best places to go for a beef dipped sandwich they also have pastrami, lamb. And great potato salad, macaroni salad, coleslaw. Good desserts. A must when visiting LA . You can get a beer or wine if in the mood. Alot of...More"
59,"After visiting the Post Office we crossed Alameda Street and went for late lunch at Philippeï¿½ï¿½?? You know this place is different when you walk in and see all the lines waiting to be served at the counter, and the sawdust on the floor. You...More"
60,I was in downtown Los Angeles yesterday and decided to make it a point to have lunch at Philippe's. The Original French Dip Sandwich (double-dipped) was the perfect solution. There are all kinds of other meats and plenty of sides but all I really wanted...More
61,Simply the best French dip sandwiches on the planet I have been going to Philippeï¿½ï¿½??for 1/2 a century itï¿½ï¿½??the same quality fair prices same building same atmosphere they just donï¿½ï¿½??mess with perfection My personal favorite is a double dip beef with Swiss...More
62,Many years ago I delivered mail to Philippes and would eat there two or three times a week. Have to double dip and ask for an side of juice.. Excellent
63,"Phillippe's, Dodger Game, Tommy's. Throw in Cielito lindo and I'm in heaven! French Dip, dill pickle, cole slaw. Long tables= you might sit between a wino and a middle aged woman in a mink coat!"
64,"If you want to know where the French dip originated, you found the right place. Their French dip sandwich is delicious as they cook the beef to perfection and make their own bread. Very healthy portions and side dishes are all excellent. And the tapioca...More"
65,I've heard a lot about this Diner so when we were in La we stop by and checked it out. It's pretty good. it's very busy inside but they do have very good sandwiches. I liked it because it was family-owned and it was interesting...More
66,"Based on a friendï¿½ï¿½??recommendation my family and I visited Philippeï¿½ï¿½??to try their French dips. We got the beef and lamp French dips, all double dipped, plus sides and a desert. The sandwiches were good, reasonably priced and the meat tasted fresh, but they...More"
67,"Experienced some history. This restaurant is 110 years old this year, having started in 1908. The employees were great and the food was absolutely excellent!"
68,"A great cheap lunch with beef sandwiches no need to say ""Where's The Beef Here"" Philippe the Original beef sandwiches place is still serving up this delicious lunch special. Fun for the whole family, kids, bus tours.. 4 Stars for outstanding good cheap eats.."
69,"The place was packed with tourists from around the worl. It was good, but not great. A bit dry. Still give it a try!"
70,The french roll is what makes the double dip roast beef sandwich the best. The place can get crowded but there was a good amount of parking and plenty of seating. Itï¿½ï¿½??well worth a trip to this historic restaurant.
71,"I hadn't been to Philippe's in years and a rerun of a Huell Howser episode prompted me to return. I chose a beef French Dip, double dipped. No cheese for this purist... just give me meat, bread and au jus. The meat was tender, non-fatty,...More"
72,"You haven't been to Philippe the Original? You MUST go. Philippe the Original is old school food in Los Angeles. i mean, look at the menu. Who does old school variety like Philippe's ? So go there and do that. You'll be glad you did."
73,Just recently ate lunch here. Parking is easy if you show up before the lunch rush. Great friendly staff and great food.
74,Whether you believe it began at Coleï¿½ï¿½??downtown or here at Phillipes...the flavor of the perfectly cooked sandwich dipped into the juicy broth is a rare find! An incredible sandwich. Watch out for the mustard. A man thought he was having a heart attack n...More
75,Visited after seeing on man v food and was not disappointed. I had the beef with double dip and will be going back for more next time Iï¿½ï¿½??in LA.
76,"If you are looking for romantic or sentimental atmosphere, don't go here. But if you want a great french dip sandwich and homemade tasting potato or macaroni (or both) salads in a lively, simple, come as you are restaurant, come to Philippe's. I have been...More"
77,"My family and I loved it! We were at the Union station and we asked a police officerï¿½ï¿½??recommendation. Really glad we listened, the place was such a gem! It was big with plenty of seating, the price was affordable, staff were really nice. They...More"
78,Our group of 4 friends enjoyed a nice visit to this famous foodie joint. It was 6:30 pm on Tuesday. So not crowded and parking was a breeze. The environment is very very rustic. The roast beef sandwich soaked in au juice was even better...More
79,"This is a canï¿½ï¿½??miss, we went for the beef double dipped with potato salad and macaroni salad. The sandwich, as always, was amazing!"
80,We had sandwiches there right before a Dodger game and it was mobbed! There are several sandwich types to choose from so there is something for everyone. Figure 1 1/2 sandwich for normal eaters. This place is loaded with old LA memories. Excellent!!!
81,"Tasty sandwiches with a variety of side dishes including macaroni and potato salad in a historical location (check out the rail museum and spend a few minutes looking around the walls). The french dip is not served with a side of au jus, as is...More"
82,"Weï¿½ï¿½??never been here before, which we told the lady who took our order. We would have skipped dipping the bread (although we later saw that the menu board said we could). When we asked what kind of sides, we were told ï¿½ï¿½?“law, potato salad...More"
83,It was a pretty good French dip sandwich but not very flavourful - a bit bland. My husband and I have made them once or twice at home before and expected Phillipeï¿½ï¿½??to be much nicer than ours but were a bit disappointed.
84,This is such an amazing place. From the sawdust on the floors to the wonderful women behind the counters. if you want french dip this doesn't get any better! If you're not into the richness of French dip there are tons of items behind the...More
85,This is a Los Angeles icon that still lives up to its reputation for the best and sloppiest sandwiches on the planet.
86,This place has been in my familyï¿½ï¿½??list of frequently visited for as long as they have been open. Thereï¿½ï¿½??a lot to be said about the food if we keep coming back. The food is consistently great. Some of the employees have been there...More
87,"I haven't been here in 20 years--but it seems as if nothing has changed. The food is still great--yes it is simply but it is done right. Good meat, fresh buns, ""dipped"" to your choice. Old time service at the counter. Great sides and the...More"
88,It was a little confusing at first because the menu includes so many choices and the items are priced individually. We ordered the original -asked for a separate Au Jus to dip in - and it was delicious. We had the beef; there was also...More
89,"I was introduced to this place the first time I went to LA, and its now the first place I go back to when I go. The beef dipped sandwiches are out of this world, and the atmosphere is pretty special too. They do sell...More"
90,I was not surprised to see a large crowd for lunch on a Thursday afternoon. I've heard lots of high regards for the food. I am an english major with a large catalog of words for use in any situation. The word I choose to...More
91,"Visitied this well known spot before a Dodger game. Lots of Dodger fans all around. Famous for their ""French Dip"" but they offer loads of meat options other than beef. Good variety of sides as well as beers and drinks. Quick service although it draws...More"
92,This icon restaurant specializing in French Dip Sandwiches. Very good and you will enjoy the experience of dining in this landmark Los Angeles Restaurant. Very easy to location near Union Station and LA Chinatown.
93,"It is no wonder this place has been here for so many years! The food is great, the service efficient and the loud atmosphere is an exciting whirlwind of retro eating places. This is not a fine-dining restaurant! This is do-it-yourself ordering (hurry up or...More"
94,If you haven't been here you are in for a surprise. The place is like walking back in time. Across from Union Station. Close to Olivera street and Chinatown. But the food is the star here. Their dip is so good. Its hard to try...More
95,"L.A. landmark, on the edge of Chinatown adjacent to Olvera St and Union Station. Best French Dip (sorry Cole's it's better). Lamb is the best. Insiders know to ask for a double dip (both sides of the roll).Super affordable, great sides too: macaroni and potato...More"
96,"This is a must visit stop for Los Angeles and especially if you are downtown near the train station. A landmark of Los Angeles history, the birthplace of the French Dip sandwich. Do yourself a favor and eat here. It cannot be missed"
97,I've been to Philippe's a couple of times when visiting Los Angeles. I had originally heard of it from one of the food programs on TV a number of years ago. I always get a double dipped beef sandwich and one of the side dishes....More
98,"After arriving from Union Station and my stomach growling I decided to walk over to an LA Landmark and I didnï¿½ï¿½??disappoint. The wonderful smell and sawdust on the floor was good to start with, after waiting for 10 minutes I ordered my food from...More"
99,"When a place lasts as long as this in a city as changeable as LaLaLand, you just know they are doing something very right. Ask any one on line, any of the parties filling the tables and even the tourists getting off the buses"
100,"My family has been going to Philippe's since the 1920s and I have been going since the 1960s. Their food is always excellent. My wife and I had a beef dip a lamb dip, coleslaw, potato salad, a pickled egg and a baked apple. All...More"
101,"A local iconic restaurant that has been in business for over 70 years, they serve great french dip sandwiches which my favorite is the lamb double dipped."
102,I had a chance to visit this place while waiting for the train at nearby Union Station. I knew that I was coming to a famous place which is basically an institution in Los Angeles. My expectations were set high considering favorable reviews. The place...More
103,It was were it was started. Always busy and food is great and freshly made. Sawdust on the floor and staff has been their for ages. Prices not bad.
104,"Philippe the Original has been serving their famous French dipped sandwiches for over 100 years. We stopped by on a rainy Thursday to sample the original beef sandwich, double dipped. The beef was tender, and the bread held up well and wasn't too soggy. We...More"
105,"It's always fun to stand in line for your meal at Phillippe and listen to the conversations around you - the next person in line may be a metal-worker, or a punk rocker or a superior court judge, and they all mix effortlessly. The food...More"
106,"I just went to Philippes for the first time this week. We walked from Union Station and enjoyed delicious beef dipped sandwiches. We came because we heard this place had history (being the ""birthplace"" of the beef dip sandwich) and we wanted a quick spot...More"
107,Wait on line for 20 minutes; they make your food in two minutes and you eat it in 5 minutes and you wish you had another. Classic; tasty; cheap and always crowded. The one great thing is that over the last ten years they have...More
108,"Iï¿½ï¿½??55 years old and have been going there since I was young. My favorite is a double dip or wet, beef n Swiss with a Side of potato salad and 2 Budweiser. While I didnï¿½ï¿½??drink the Budweiser when I was young i still...More"
109,Didnï¿½ï¿½??disappoint. Very good! Macaroni salad was awesome as well. Very cool atmosphere that has been rolling for a long time. I recommend getting there before noon if your doing lunch. About 11:45 they start piling in!
110,"First time here. Mouth-watering goodness! Our party of 5 enjoyed dipped sandwiches, tuna salad sandwich, potato salad (the best ever), coleslaw, pickles and brownie. Delish! Pop comes in cans. Order at the counter. We sat at long communal table for atmosphere. Old telephone booths for...More"
111,"Went here while visiting LA on business and had heard about this place in a book. I've had French Dip sandwiches before but this is the original and is genuinely amazing. I ordered beef, along with some pickled pigs feet and a beer. While I...More"
112,I see why they have stayed in business for so many decades. The place makes unbelievably delicious French dips. Only place I've had French dip lamb like this...
113,"This was a good sandwich, but I made the mistake of getting it on sourdough (sliced bread) instead of a French roll. I would have liked more sauce to dip in since I ran out. The pastrami was better than the beef, but the mustard...More"
114,"Great French dipped soup, frebch dipoed roast beef sabdwich, creamy cole slaw in a funky NY style restaurant. Unique LA experience in walking distance to Union Train Station. Got to try it if visting LA"
115,"My boyfriend introduced me to this place. I will never forget the first sandwich I tasted there... it was just soooo goooood! The whole place feels legendary, it's old, it has its beautiful history and you can definitely still feel the original ambiance of it...More"
116,Located on the edge of Chinatown near Union Station. We went in at 2pm on a Sunday and it was packed. The counter service however was quick and efficient. We had a classic beef and a lamb french dip. Very nice pieces of meat on...More
117,"This was our first stop on our spring break trip to Los Angeles we got beef dip, turkey dip, and pastrami dip! Got all thee sides Mac salad potato salad and cold slaw! Everything was worth it price was great and food was everything I...More"
118,"An old downtown standby. One of two L.A. restaurants that claims to have invented the French Dip sandwich. The are really good, but you will usually have to stand in line. Cheap, and wash it down with a draft beer (you can get an expesive...More"
119,If you go to LA you must try one of the most tasty sandwhich in the USA. The meat is tender and has a lot of flavor. The bread is delicious since they deep it in the meat sauce. It taste like a home made...More
120,"I take train down to union station and cross the street and there you are Such a great and yummy roast beef sandwiches, it's a must if you visit LA to try Philippe"
121,A piece of old LA with a setting that bespeaks it. Enjoy those sandwiches! Take time to walk around the block to see a few other memories of the past.
122,"The line goes by fast. Here is for lunch meeting. Sandwich portions seemed kinda smaller, but pastrami was very tasty. Casual dining interior with lots of seating. Convenient free parking lots adjacent to restaurant in China town/DTLA border!"
123,"Close to Union Station and Olvera Market, this is a good place for lunch if you are visiting the area. It has friendly and helpful staff, a long glass and steel counter where you order your food, long tables where you eat......and sawdust on the...More"
124,I grew up coming here but hadn't been back in decades. It was fabulous to return as an adult and surprisingly - it was still a familiar place! LOVED the lamb dip!
125,This is a great sandwich. I have gone here for years while I lived in LA. Now that I live in Las Vegas I finally got over here on my last trip. The sandwich was just as good but it does seem to have gotten...More
126,ask them to heat up the sandwich a little if you like your food pipping hot. they also server chili which is great. there is plenty of parking just across the side street to the west. so go on down.
127,"As great as the atmosphere is as well as the French dip sandwich too. The hot mustard sauce is unbelievable. So hot, tangy, flavorful, and just awesome. Canï¿½ï¿½??wait for my next visit! Ps. One tip, if you order on sourdough it comes as a...More"
128,"I had been wanting to try Philippe's famous dipped sandwiches for a long time. We got here around 10:30 on a Friday and it wasn't too busy. The menu offers your choice of meat (Beef, lamb and pork), bread (French roll, white, wheat, etc) and...More"
129,Have the beef french dip with coleslaw on the side. Always good. My family has been coming here for 100 years. We always have the same thing. They have parking. Itï¿½ï¿½??a fun place to take visitors and carnivores.
130,"It's not elegant but it's one of a kind. Cafeteria style but phenomenal French dip sandwiches. I don't like eating off paper plates, but the food is so good!! The lines are sometimes 20 deep x five lines!! Everyone loves Philippe's famous French dip! I've...More"
131,"I've eaten here before and reviewed before, but I want to add this note. I arrived back at Union Station from a trip to New Orleans just after 5 AM. That was early and, though, some food counters were open at the station, they were...More"
132,"My grandfather and I used to ride the streetcar from his office on Spring St to Philippeï¿½ï¿½??for a French dip sandwich for lunch. The restaurant was decades old, even back then. LA has changed since then - and how! - the streetcars are gone,...More"
133,"Based on tripadvisor reviews, we have been to Phillppe to try their classical French Dip sandwich. Unfortunately, it was just OK. Nothing special."
134,"great atmosphere and sandwiches. Not gourmet but hearty and delicious. Lamb and pork, both were great and lean. Pie and a pudding for dessert, coffee less than a buck! Great ordering counter!"
135,"My Lady suggested we lunch at Phillippe's, as we were in the area. I'd heard of their legendary sandwiches, and I readily agreed. At the counter, she ordered their classic French Dip sandwich, while I opted for my favorite pastrami on rye bread. When the...More"
136,"I think this is place only if your in the area would not drive special for this sandwich . I really feel locals love this place and thought fun 1 time we tried all different sandwichs nothing special my thoughts, but glad I went and...More"
137,Classical good food. Loved literally everything. From the service to the food. When iï¿½ï¿½??back in L.A. i hope to come back to Phillipe!
138,"Phillppe is the best place to get a french dipped sandwich in Los Angeles. One of the old time classic places, they are been serving since the early 1900's. Famous place so lines can be a little long, as can the parking, but all well...More"
139,Must visit for anyone looking to experience old time Los Angeles. Great atmosphere and good food. Great decor and a location close to Union Station.
140,Walk into Philippeï¿½ï¿½??and itï¿½ï¿½??like walking into a time-warp! You are transported back to old Los Angeles in 1908. Long wooden tables and a few booths. The restaurant states that the menu is about the same from when they first openedï¿½ï¿½ë´¢xcept the prices are...More
141,"This is a must visit for any person touring downtown Los Angeles. And best time - weekday after 8:30 pm to avoid the rush. And whoever came up with the interior deco of giving the place a cowboy look, a sandwich on me!"
142,Well aged interior with wooden tables and stools. Great French Dip sandwiches and sides. You come for the food and the nostalgia of good old days. It may not be serving the world's greatest sandwiches but it does the job well and will not disappoint.
143,"If you are looking for a truly original Los Angeles experience, look no further than Philippe's for the inventor of the Beef Dip Sandwich. Get a taste of old L.A. and the best tasting beef dip around."
