"사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물소유구분명","급수시설구분명","년도","다중이용업소여부","시설총규모","위생업종명","위생업태명","총종업원수","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명","기준일"
"아이점프(문래점)","서울특별시 영등포구 문래동3가 82-8번지 태양프라자 3층 ","서울특별시 영등포구 문래로 79-4 (문래동3가 태양프라자 3층)","20150826","운영중","","","","","66","150836","","","2015","N","66","휴게음식점","키즈카페","","02-2672-8669","190361.2183","446708.3291","3180000-104-2015-00135","영업","2018-04-25"
"키즈팡팡","","서울특별시 동작구 장승배기로 18 지상2층 (상도동)","20150602","운영중","","","","","92.4","","","상수도전용","2015","N","92.4","휴게음식점","키즈카페","","","194939.515","444525.1878","3190000-104-2015-00061","영업","2018-04-25"
"(주)플레이타임그룹 HD디큐브시티점 맘스카페","서울특별시 구로구 신도림동 692번지 현대백화점디큐브시티 4층 ","서울특별시 구로구 경인로 662 4층 (신도림동 현대백화점디큐브시티 )","20160115","운영중","","","","","65.04","152706","","상수도전용","2016","N","65.04","휴게음식점","키즈카페","","02-2210-9409","190210.5118","445488.901","3160000-104-2016-00006","영업","2018-04-25"
"키즈카페 하이아이","서울특별시 강남구 도곡동 467-7번지 ","서울특별시 강남구 언주로30길 21 에이동 지하2층 B201-3호 (도곡동 아카데미스위트 상가)","20161122","운영중","","","","","99.43","135856","","","2016","N","99.43","휴게음식점","키즈카페","","","204513","442932","3220000-104-2016-00779","영업","2018-04-25"
"방방박사","서울특별시 영등포구 당산동5가 8번지 데시앙루브 지하1층 111111-1112112-1호 일부 ","서울특별시 영등포구 당산로 203 (당산동5가 데시앙루브 지하1층 111111-1112112-1호 일부)","20170329","운영중","","","","","65","150045","","","2017","N","65","휴게음식점","키즈카페","","","191152.4916","448099.7525","3180000-104-2017-00086","영업","2018-04-25"
"Hi 키즈카페","서울특별시 강북구 수유동 338-6번지 3층 ","서울특별시 강북구 삼양로 438 3층 (수유동)","20170526","운영중","","","","","66","142877","","","2017","N","0","휴게음식점","키즈카페","","","201472.0469","460324.9154","3080000-104-2017-00047","영업","2018-04-25"
"키즈 헤어 타임","서울특별시 강동구 명일동 325-11번지 메가타운 204호 ","서울특별시 강동구 구천면로 424 (명일동메가타운 204호)","20130717","운영중","","","","","6.6","134830","","","2013","N","6.6","휴게음식점","키즈카페","","","212864.2849","450102.2853","3240000-104-2013-00075","영업","2018-04-25"
"몽키팡팡","서울특별시 강동구 명일동 48번지 주양쇼핑 4층 4002호 ","서울특별시 강동구 고덕로62길 55 (명일동 주양쇼핑 4층 4002호)","20130927","운영중","","","","","208.46","134825","","","2013","N","208.46","휴게음식점","키즈카페","","02-3427-8943","213560.2264","450330.4992","3240000-104-2013-00105","영업","2018-04-25"
"점프런","서울특별시 강동구 천호동 234-6번지 ","서울특별시 강동구 구천면로 304 (천호동)","20131121","운영중","","","","","52.54","134866","","","2013","N","52.54","휴게음식점","키즈카페","","","211913.1793","449698.7715","3240000-104-2013-00135","영업","2018-04-25"
"점핑파티","서울특별시 중랑구 면목동 499-4번지 ","서울특별시 중랑구 면목로 357 3층 (면목동)","20170313","운영중","","","","","40","131831","","상수도전용","2017","N","40","휴게음식점","키즈카페","","02-6080-9559","207784.8066","453829.823","3060000-104-2017-00022","영업","2018-04-25"
"아이플레이","서울특별시 중구 을지로7가 2-1번지 1층 ","서울특별시 중구 을지로 281 1층 (을지로7가)","20160705","운영중","","","","","100","100197","","","2016","N","100","휴게음식점","키즈카페","","02-335-3939","201010.2625","451995.1631","3010000-104-2016-00235","영업","2018-04-25"
"(주)플레이타임그룹홈플러스상봉점상상노리맘스카페","서울특별시 중랑구 상봉동 500번지 ","서울특별시 중랑구 망우로 353 지하2층 (상봉동 홈플러스)","20170303","운영중","","","","","36.36","131220","","상수도전용","2017","N","36.36","휴게음식점","키즈카페","","02-2209-0970","208091.2692","455421.8266","3060000-104-2017-00019","영업","2018-04-25"
"헬로방방","서울특별시 강남구 대치동 507-2번지 대치퍼스트빌딩 ","서울특별시 강남구 삼성로 155 대치퍼스트빌딩 지하1층 (대치동)","20180125","운영중","","","","","50","135836","","","2018","N","50","휴게음식점","키즈카페","","","205567.0049","443826.9032","3220000-104-2018-00069","영업","2018-04-25"
"자그마니","서울특별시 은평구 신사동 7-4번지 3층 302호","서울특별시 은평구 갈현로 44 3층 302호 (신사동)","20180405","운영중","","","","","79","122879","","상수도전용","2018","N","79","휴게음식점","키즈카페","","02-382-1008","192094.3877","455798.5968","3110000-104-2018-00057","영업","2018-04-25"
"늘푸른 키즈 놀이터(카페)","서울특별시 은평구 신사동 20-26번지 ","서울특별시 은평구 은평로 33 3층 (신사동)","20120103","운영중","","","","","224.48","122881","","","","","","휴게음식점","키즈카페","","","192179.8963","455421.9787","3110000-104-2012-00001","영업","2018-04-25"
"키즈팡팡 구산점","서울특별시 은평구 갈현동 464-4번지 6층 ","서울특별시 은평구 연서로 161 (갈현동 6층)","20170314","운영중","","","","","25.6","122813","","","","","","휴게음식점","키즈카페","","","192685.0588","457079.1028","3110000-104-2017-00048","영업","2018-04-25"
"헬로방방 마곡점","서울특별시 강서구 마곡동 768-2번지 동익드미라벨복합빌딩 (지상 2층) 236호","서울특별시 강서구 마곡서로 101 동익드미라벨복합빌딩 2층 236호 (마곡동)","20180418","운영중","","","","","20","157210","","상수도전용","2018","N","20","휴게음식점","키즈카페","","02-2666-4857","184386","451226","3150000-104-2018-00091","영업","2018-04-25"
"타요키즈카페엔뽀로로샵아트몰링장안점","서울특별시 동대문구 장안동 368-1번지 바우하우스 ","서울특별시 동대문구 답십리로 288 16층 (장안동)","20180403","운영중","","","","","97.88","130840","","","2018","N","97.88","휴게음식점","키즈카페","","","206394.7356","452489.2208","3050000-104-2018-00054","영업","2018-04-25"
"타요키즈카페 우장산역점","서울특별시 강서구 화곡동 1165-1번지 강서힐스테이트 (지상 5층) 상가동 516호","서울특별시 강서구 강서로 242 상가동 5층 516호 (화곡동 우장산동 강서힐스테이트)","20160129","운영중","","","","","45","157010","","상수도전용","2016","N","45","휴게음식점","키즈카페","","02-2601-0120","185570.8979","449764.2657","3150000-104-2016-00011","영업","2018-04-25"
"러브앤베베","서울특별시 강서구 내발산동 750-5번지 발산1동 발산시티타워 1001호","서울특별시 강서구 수명로 74 10층 1001호 (내발산동 발산시티타워 발산1동)","20160329","운영중","","","","","23","157937","","","2016","N","23","휴게음식점","키즈카페","","","184642.2243","450355.2507","3150000-104-2016-00045","영업","2018-04-25"
"아가랑베이비카페","서울특별시 노원구 공릉동 379-25번지 3층 ","서울특별시 노원구 동일로191가길 22 3층 (공릉동)","20180213","운영중","","","","","30","139240","","","2018","N","30","휴게음식점","키즈카페","","","206304.8391","458489.0541","3100000-104-2018-00017","영업","2018-04-25"
"리틀비틀아현점","서울특별시 마포구 아현동 395-1번지 정원헵시바 ","서울특별시 마포구 마포대로24길 51 (아현동 3층일부)","20171113","운영중","","","","","70","121861","","","","","","휴게음식점","키즈카페","","","196644.9873","450257.0132","3130000-104-2017-00408","영업","2018-04-25"
"쁘띠몽드 마포중앙도서관점","서울특별시 마포구 성산동 275-3번지 마포중앙도서관 1층1호 ","서울특별시 마포구 성산로 128 1층 1호 (성산동)","20171114","운영중","","","","","656","121848","","","","","","휴게음식점","키즈카페","","","191956.4293","451621.7907","3130000-104-2017-00410","영업","2018-04-25"
"(주)엔비져블펀토리하우스영등포점","서울특별시 영등포구 영등포동8가 35-1번지 리마크빌 영등포 2층 207호 ","서울특별시 영등포구 영중로 119 리마크빌 영등포 2층 207호 (영등포동8가)","20180314","운영중","","","","","51.68","150038","","","2018","N","51.68","휴게음식점","키즈카페","","","191619.2275","447527.9323","3180000-104-2018-00057","영업","2018-04-25"
"씨드랜드","서울특별시 송파구 문정동 618번지 파크하비오(하비오타워205동 법조대로302호 303호) ","서울특별시 송파구 송파대로 111 205동 3층 302호 303호 (문정동 파크하비오)","20180202","운영중","","","","","96","138888","","","2018","N","96","휴게음식점","키즈카페","","","210966","442050","3230000-104-2018-00051","영업","2018-04-25"
"쁘띠몽드 자곡점","서울특별시 강남구 자곡동 634번지 ","서울특별시 강남구 자곡로 108 지하1층 102103호 (자곡동)","20180416","운영중","","","","","195","135200","","","2018","Y","195","휴게음식점","키즈카페","","02-3412-7100","208367.1264","441091.5246","3220000-104-2018-00257","영업","2018-04-25"
"해피팝","서울특별시 강서구 가양동 1480-8번지 3층 2동 ","서울특별시 강서구 양천로 461 지상3층 (가양동 2동)","20151124","운영중","","","","","30","157807","","","2015","N","30","휴게음식점","키즈카페","","02-3663-7942","186943.8419","451511.6801","3150000-104-2015-00207","영업","2018-04-25"
"헬로방방 돌곶이역점","서울특별시 성북구 석관동 349-1번지 장위뉴타워 ","서울특별시 성북구 화랑로 248 장위뉴타워 14층 (석관동)","20180110","운영중","","","","","20","136820","","","2018","N","20","휴게음식점","키즈카페","","02-959-0077","205024.5606","456759.336","3070000-104-2018-00006","영업","2018-04-25"
"그레이트피그미풀","서울특별시 성동구 행당동 168-151번지 5층 에스피05호 ","서울특별시 성동구 왕십리광장로 17 5층 에스피05호 (행당동)","20171123","운영중","","","","","52.5","133866","","","","","","휴게음식점","키즈카페","","","203392.2377","451324.0853","3030000-104-2017-00187","영업","2018-04-25"
"LITTLE BEETLE 상계점(리틀비틀)","서울특별시 노원구 상계동 963-2번지 ","서울특별시 노원구 수락산로 212 3층 (상계동)","20171122","운영중","","","","","15.5","139836","","상수도전용","2017","N","15.5","휴게음식점","키즈카페","","02-935-3354","204885.6334","463465.4873","3100000-104-2017-00205","영업","2018-04-25"
"뛰노리방방","서울특별시 도봉구 방학동 671-18번지 지하1층 ","서울특별시 도봉구 도당로 46 지하1층 (방학동)","20171122","운영중","","","","","33","132849","","","2017","N","33","휴게음식점","키즈카페","","02-956-5337","203083.8546","462493.4168","3090000-104-2017-00091","영업","2018-04-25"
"점핑플레이 키즈카페","서울특별시 강남구 자곡동 633번지 S-플라자 ","서울특별시 강남구 자곡로 106 S-플라자 4층 403호 (자곡동)","20180209","운영중","","","","","52.8","135200","","","2018","N","52.8","휴게음식점","키즈카페","","02-2226-6182","208346","441104","3220000-104-2018-00097","영업","2018-04-25"
"리틀앙팡 키즈카페","서울특별시 강북구 미아동 7-5번지 대지쇼핑프라자 ","서울특별시 강북구 오패산로30길 10 3층 (미아동)","20171121","운영중","","","","","75.3","142802","","상수도전용","2017","N","75.3","휴게음식점","키즈카페","","","203073.5449","457121.1119","3080000-104-2017-00118","영업","2018-04-25"
"점핑하우스","서울특별시 마포구 성산동 160-4번지 지하1층 ","서울특별시 마포구 월드컵로36길 50 지하1층 (성산동)","20171207","운영중","","","","","62","121845","","","2017","N","62","휴게음식점","키즈카페","","","191663.7665","452087.0834","3130000-104-2017-00430","영업","2018-04-25"
"키즈앤팡","","서울특별시 노원구 수락산로 232-0 4층 (상계동)","20150625","운영중","","","","","90","","","","2015","N","90","휴게음식점","키즈카페","","","204672.9096","463491.9304","3100000-104-2015-00072","영업","2018-04-25"
"타요키즈카페보라매점","서울특별시 동작구 신대방동 395-69번지 ","서울특별시 동작구 보라매로5가길 16 603호 (신대방동)","20170110","운영중","","","","","95","156849","","상수도전용","2017","N","95","휴게음식점","키즈카페","","02-319-8585","193287.2792","443538.4807","3190000-104-2017-00006","영업","2018-04-25"
"키즈플래닛","서울특별시 강남구 청담동 28-13번지 ","서울특별시 강남구 삼성로135길 28 지하1층 (청담동)","20170913","운영중","","","","","55","135950","","","2017","N","55","휴게음식점","키즈카페","","","204159.9778","446716.4839","3220000-104-2017-00649","영업","2018-04-25"
"타요키즈카페 은평뉴타운점","서울특별시 은평구 진관동 100-6번지 메이플카운티 2차 207호211호 ","서울특별시 은평구 진관2로 12 2층 (진관동 메이플카운티 2차 207호211호)","20151030","운영중","","","","","97.47","122200","","상수도전용","2015","N","97.47","휴게음식점","키즈카페","","","192748","459127","3110000-104-2015-00158","영업","2018-04-25"
"쁘띠몽드 키즈카페","서울특별시 성동구 성수동2가 289-8번지 ","서울특별시 성동구 성수이로 127 3층 (성수동2가)","20160205","운영중","","","","","7.13","133834","","","2016","N","7.13","휴게음식점","키즈카페","","02-0463-4567","205070.4849","449637.1674","3030000-104-2016-00024","영업","2018-04-25"
"키즈앤팡","서울특별시 노원구 중계동 58-20번지 4층 ","서울특별시 노원구 중계로12가길 2 4층 (중계동)","20160919","운영중","","","","","76","139854","","","2016","N","76","휴게음식점","키즈카페","","02-931-0694","207243.5248","460863.2738","3100000-104-2016-00175","영업","2018-04-25"
"헬로방방 신도림점","서울특별시 구로구 신도림동 437-1번지 태영프라자 713호","서울특별시 구로구 경인로59길 8 713호 (신도림동 태영프라자)","20170912","운영중","","","","","33","152888","","상수도전용","2017","N","33","휴게음식점","키즈카페","","","189692.8624","445219.9123","3160000-104-2017-00132","영업","2018-04-25"
"모모와(momowa)","서울특별시 강남구 역삼동 784-1번지 ","서울특별시 강남구 언주로65길 7 2층 (역삼동)","20170623","운영중","","","","","85","135515","","","2017","N","85","휴게음식점","키즈카페","","","204007.4838","443971.8989","3220000-104-2017-00428","영업","2018-04-25"
"아트아이색놀이터","서울특별시 마포구 현석동 10-1번지 1층 ","서울특별시 마포구 신수로 30 (현석동 1층)","20171106","운영중","","","","","93","121120","","","2017","N","93","휴게음식점","키즈카페","","","194200.0802","449413.4073","3130000-104-2017-00400","영업","2018-04-25"
"해피블럭카페 신도림점","서울특별시 구로구 신도림동 437-1번지 태영프라자 209호일부 ","서울특별시 구로구 경인로59길 8 (신도림동 태영프라자 209호일부)","20150610","운영중","","","","","37.62","152888","","","2015","N","37.62","휴게음식점","키즈카페","","","189692.8624","445219.9123","3160000-104-2015-00058","영업","2018-04-25"
"블럭이랑","서울특별시 중랑구 신내동 255-1번지 ","서울특별시 중랑구 신내역로3길 4 501호 (신내동 신내골드프라자)","20150917","운영중","","","","","26.4","131865","","","2015","N","26.4","휴게음식점","키즈카페","","070-4141-4763","209355","457471","3060000-104-2015-00059","영업","2018-04-25"
"더키즈프리미엄키즈카페","서울특별시 광진구 중곡동 629-6번지 3층 301호","서울특별시 광진구 면목로 57 3층 301호 (중곡동)","20161110","운영중","","","","","75.9","143912","","","2016","N","75.9","휴게음식점","키즈카페","","02-464-0783","206831.457","451071.7502","3040000-104-2016-00241","영업","2018-04-25"
"아이노리","서울특별시 금천구 시흥동 1013-7번지 벽산중심상가 지상2층 203204호 ","서울특별시 금천구 금하로 763 지상2층 203204호 (시흥동 벽산중심상가)","20161208","운영중","","","","","26.6","153030","","","2016","N","24","휴게음식점","키즈카페","","02-892-1231","192442.4521","438996.5314","3170000-104-2016-00123","영업","2018-04-25"
"헬로방방 남가좌충암점","서울특별시 서대문구 남가좌동 2-4번지 7층 ","서울특별시 서대문구 명지대길 103 7층 (남가좌동)","20170707","운영중","","","","","63","120800","","","2017","N","63","휴게음식점","키즈카페","","02-372-4857","193186.4612","453897.6968","3120000-104-2017-00113","영업","2018-04-25"
"챔피언","서울특별시 강서구 등촌동 73-1번지 금부빌딩 (지하 1층) ","서울특별시 강서구 양천로 476 지하 1층 (등촌동 3동 금부빌딩)","20170817","운영중","","","","","10","157030","","상수도전용","2017","N","10","휴게음식점","키즈카페","","","187036.1941","451351.0978","3150000-104-2017-00246","영업","2018-04-25"
"꼬마대통령","서울특별시 강동구 천호동 453-18번지 (2층) ","서울특별시 강동구 천호대로157길 6 (천호동(2층))","20071130","운영중","","","","","246.58","134864","","","2007","N","246.58","일반음식점","키즈카페","","02-486-5553","211226.44848800000  ","448733.13007700000  ","3240000-101-2007-00451","영업","2018-04-25"
"알로하베베","서울특별시 중랑구 상봉동 100-7번지 ","서울특별시 중랑구 망우로 305 (상봉동)","20111104","운영중","","","","","190.69","131857","","","2011","N","190.69","일반음식점","키즈카페","","02-3405-5000","207607.70241000000  ","455263.20222200000  ","3060000-101-2011-00249","영업","2018-04-25"
"이가커피","서울특별시 관악구 봉천동 1638-22번지 108호","서울특별시 관악구 인헌6길 16 1층 108호 (봉천동)","20170331","운영중","","","","","28.09","151832","","상수도전용","2017","N","28.09","일반음식점","키즈카페","","","196993.16428800000  ","441629.94470300000  ","3200000-101-2017-00102","영업","2018-04-25"
"릴리펏한남더힐점","서울특별시 용산구 한남동 28-2번지 지하1층 ","서울특별시 용산구 독서당로 85 지하1층 (한남동)","20160105","운영중","","","","","288.90","140884","","","","","","일반음식점","키즈카페","","","200866.91984700000  ","448350.97883000000  ","3020000-101-2016-00004","영업","2018-04-25"
"키즈필키즈카페","서울특별시 강동구 성내동 439-8번지 3층 ","서울특별시 강동구 양재대로89가길 34 3층 (성내동)","20140627","운영중","","","","","260.49","134846","","","2014","N","260.49","일반음식점","키즈카페","","070-8873-8061","211862.81401000000  ","447299.32938400000  ","3240000-101-2014-00206","영업","2018-04-25"
"에르마노 키즈카페","서울특별시 강동구 명일동 344-15번지 ","서울특별시 강동구 상암로 195 2층 202호 (명일동)","20150129","운영중","","","","","199.46","134830","","","2015","N","199.46","일반음식점","키즈카페","","","212742.18922900000  ","449688.66987200000  ","3240000-101-2015-00028","영업","2018-04-25"
"더치앤빈","서울특별시 구로구 구로동 170-10번지 대륭포스트타워7차 107호","서울특별시 구로구 디지털로33길 48 107호 (구로동 대륭포스트타워7차)","20160818","운영중","","","","","87.82","152847","","상수도전용","2016","N","87.82","일반음식점","키즈카페","","","190669.97516700000  ","443095.13805700000  ","3160000-101-2016-00254","영업","2018-04-25"
"미니랜드","서울특별시 양천구 목동 754-4번지 지상3층 ","서울특별시 양천구 목동중앙본로 17 지상3층 (목동)","20161010","운영중","","","","","33.00","158817","","상수도전용","2016","N","33","일반음식점","키즈카페","","","188594.65233200000  ","448770.63792400000  ","3140000-101-2016-00247","영업","2018-04-25"
"아이와","서울특별시 강동구 암사동 508번지 광나루 삼성아파트 상가동 201호 ","서울특별시 강동구 상암로3길 77 (암사동 광나루 삼성아파트 상가동 201호)","20140421","운영중","","","","","72.49","134877","","","2014","N","72.49","일반음식점","키즈카페","","","211293.61753300000  ","450567.30573800000  ","3240000-101-2014-00122","영업","2018-04-25"
"모이키즈","서울특별시 마포구 성산동 151-6번지 3층 ","서울특별시 마포구 월드컵북로 218 (성산동 3층)","20140619","운영중","","","","","184.08","121845","","","","","","일반음식점","키즈카페","","","191607.30668900000  ","452222.12610800000  ","3130000-101-2014-00477","영업","2018-04-25"
"릴리펏마포공덕","","서울특별시 마포구 독막로 291-5 2층 (염리동)","20150128","운영중","","","","","268.80","","","","","","","일반음식점","키즈카페","","02-701-3321","195206.96233300000  ","449510.97284900000  ","3130000-101-2015-00057","영업","2018-04-25"
"점프노리망원점","","서울특별시 마포구 월드컵로 123 (망원동 3층일부)","20150408","운영중","","","","","79.20","","","","","","","일반음식점","키즈카페","","","191778.74657400000  ","451066.70013500000  ","3130000-101-2015-00232","영업","2018-04-25"
"릴리펏합정메세나폴리스점","서울특별시 마포구 서교동 490번지 메세나폴리스몰1층 123호~129호 ","서울특별시 마포구 양화로 45 (서교동 메세나폴리스몰1층 123호~129호)","20160727","운영중","","","","","280.80","121919","","","","","","일반음식점","키즈카페","","","192416.98559300000  ","450223.54272000000  ","3130000-101-2016-00609","영업","2018-04-25"
"키즈필 키즈카페","서울특별시 은평구 응암동 87-1번지 3층 ","서울특별시 은평구 은평로11길 9 (응암동 3층)","20150629","운영중","","","","","80.00","122907","","","","","","일반음식점","키즈카페","","","193209.39236800000  ","455780.64817600000  ","3110000-101-2015-00199","영업","2018-04-25"
"김피라 롯데월드언더씨킹덤점","서울특별시 은평구 진관동 63번지 롯데몰 은평점4층 ","서울특별시 은평구 통일로 1050 (진관동 롯데몰 은평점4층)","20161206","운영중","","","","","335.90","122200","","","","","","일반음식점","키즈카페","","02-3434-8000","192654              ","459365              ","3110000-101-2016-00420","영업","2018-04-25"
"브리꼴라쥬","서울특별시 은평구 역촌동 27-7번지 4층 ","서울특별시 은평구 진흥로 87 (역촌동 4층)","20170220","운영중","","","","","262.00","122897","","","","","","일반음식점","키즈카페","","","193087.92236800000  ","456132.21162700000  ","3110000-101-2017-00051","영업","2018-04-25"
"닥터밸런스 서울서부점","서울특별시 금천구 가산동 60-20번지 마리오아울렛3 ","서울특별시 금천구 벚꽃로 266 마리오아울렛3관 지상7층 (가산동)","20180208","운영중","","","","","210.00","153717","","","2018","Y","210","일반음식점","키즈카페","","02-2067-2339","189835.32842300000  ","442118.07809200000  ","3170000-101-2018-00030","영업","2018-04-25"
"노리파크","서울특별시 강동구 암사동 511-20번지 ","서울특별시 강동구 상암로 26 2층 (암사동 선사타워빌딩)","20150729","운영중","","","","","33.00","134877","","","2015","N","33","일반음식점","키즈카페","","02-6285-5800","211169.00066100000  ","450110.71901100000  ","3240000-101-2015-00230","영업","2018-04-25"
"키즈카페어린왕자","서울특별시 관악구 봉천동 859-7번지 엔젤빌딩9층 ","서울특별시 관악구 관악로 203 (봉천동엔젤빌딩9층)","20080901","운영중","","","","","247.50","151811","","","2008","N","247.5","일반음식점","키즈카페","","","195911.88624500000  ","442651.09998900000  ","3200000-101-2008-00254","영업","2018-04-25"
"점핑박사","서울특별시 동작구 상도동 23-46번지 농협 ","서울특별시 동작구 상도로 233 2층 (상도동)","20171211","운영중","","","","","64.00","156831","","","2017","N","64","일반음식점","키즈카페","","02-824-3008","195119.55768900000  ","445110.76923200000  ","3190000-101-2017-00279","영업","2018-04-25"
"플레이즈 라운지","서울특별시 성동구 성수동1가 685-696번지 갤러리아 포레 B105호","서울특별시 성동구 서울숲2길 32-14 지하1층 B105호 (성수동1가 갤러리아 포레)","20180129","운영중","","","","","40.10","133825","","상수도전용","2018","N","40.1","일반음식점","키즈카페","","02-468-5882","203754              ","449253              ","3030000-101-2018-00041","영업","2018-04-25"
"릴리펏 명일점","서울특별시 강동구 명일동 306-1번지 ","서울특별시 강동구 양재대로 1661 6층 (명일동)","20170718","운영중","","","","","241.88","134830","","","2017","Y","241.88","일반음식점","키즈카페","","","212719.19052400000  ","450491.32717200000  ","3240000-101-2017-00232","영업","2018-04-25"
"릴리펏 현대백화점 천호점","서울특별시 강동구 천호동 455-8번지 현대백화점 ","서울특별시 강동구 천호대로 1005 현대백화점 8층 (천호동)","20171228","운영중","","","","","306.11","134779","","","2017","Y","306.11","일반음식점","키즈카페","","02-2225-7892","210997.25792200000  ","448824.42207300000  ","3240000-101-2017-00421","영업","2018-04-25"
"파파스토리노원점","서울특별시 노원구 상계동 371-2번지 백암빌딩 2층 ","서울특별시 노원구 노원로 456 백암빌딩 2층 (상계동)","20180109","운영중","","","","","74.58","139816","","상수도전용","2018","N","74.58","일반음식점","키즈카페","","","205888.02415700000  ","461981.42148300000  ","3100000-101-2018-00012","영업","2018-04-25"
"비지비키즈카페","서울특별시 동대문구 장안동 335-5번지 ","서울특별시 동대문구 답십리로 302 4층 (장안동)","20171107","운영중","","","","","98.00","130840","","","2017","N","98","일반음식점","키즈카페","","","206529.94649700000  ","452487.66926000000  ","3050000-101-2017-00316","영업","2018-04-25"
"폴 바셋 강남GT타워점","서울특별시 서초구 서초동 1317-23번지 1층 GT TOWER ","서울특별시 서초구 서초대로 411 1층 (서초동 GT TOWER)","20171122","운영중","","","","","115.62","137856","","","2017","N","115.62","일반음식점","키즈카페","","02-2056-3029","202292.30147300000  ","444294.48129300000  ","3210000-101-2017-00487","영업","2018-04-25"
"원풀키즈카페","서울특별시 동대문구 장안동 336번지 현대홈타운상가 지하1층 ","서울특별시 동대문구 장안벚꽃로 107 지하1층 (장안동 현대홈타운상가)","20060516","운영중","","","","","26.40","130840","","","","","","일반음식점","키즈카페","","02-2243-5959","206745.42019600000  ","452413.27917600000  ","3050000-101-2006-00172","영업","2018-04-25"
"원풀 키즈카페","서울특별시 성동구 하왕십리동 700번지 센트라스1층 I동 108호","서울특별시 성동구 왕십리로 410 I동 1층 108호 (하왕십리동 센트라스)","20170919","운영중","","","","","20.00","133855","","상수도전용","2017","N","20","일반음식점","키즈카페","","","202122              ","451451              ","3030000-101-2017-00300","영업","2018-04-25"
