Performance,Finishing,Passing,Defending,Tackling,Dribbling,Shooting,Stamina,Speed,Balance,Vision,Diving,Handling
58,59,53,30,33,65,69,57,55,65,60,6,6
75,47,78,73,80,77,70,79,78,65,55,8,8
61,68,46,18,42,46,64,29,52,56,60,11,11
65,71,53,36,44,61,71,68,60,34,63,7,7
61,38,60,51,28,63,62,58,76,57,63,8,8
70,39,63,68,63,52,70,75,66,67,71,6,6
70,59,75,58,60,70,65,65,34,65,67,6,6
72,75,66,26,20,78,66,58,72,61,75,8,8
76,65,83,60,70,68,80,52,43,58,77,9,9
70,7,23,13,14,8,21,43,58,36,35,67,67
72,42,71,67,74,70,62,79,91,77,58,8,8
66,10,24,11,13,13,45,47,46,67,31,73,73
66,41,47,66,67,40,50,34,34,60,45,15,15
66,46,72,51,54,67,72,66,64,52,71,11,11
71,42,72,67,74,64,61,56,55,72,51,9,9
75,14,23,11,14,13,39,31,35,31,35,77,77
72,62,66,28,32,81,72,66,90,92,67,13,13
65,11,49,66,65,18,52,62,31,53,52,8,8
62,55,52,29,16,72,73,65,76,56,53,6,6
77,28,72,80,76,55,58,66,61,54,54,8,8
80,47,75,83,79,50,52,52,52,63,62,15,15
74,71,75,56,39,71,76,60,48,74,81,10,10
74,8,23,14,15,7,25,51,48,29,38,75,75
76,34,59,80,77,45,62,58,34,53,63,13,13
82,8,35,11,13,9,22,44,34,43,38,80,80
77,78,68,38,42,76,84,49,74,55,66,12,12
81,75,78,11,17,86,75,58,77,86,78,8,8
79,58,84,49,68,70,81,71,64,60,82,6,6
76,41,45,74,84,29,69,59,62,31,37,13,13
58,23,60,51,53,32,71,71,63,57,68,5,5
64,40,56,61,61,61,77,77,65,70,53,13,13
77,35,75,78,84,55,73,69,54,82,65,8,8
72,76,72,34,37,69,74,33,55,68,75,10,10
71,44,59,80,75,48,80,69,54,62,46,9,9
63,49,69,54,41,49,71,54,52,74,68,8,8
62,55,71,60,59,57,72,49,48,73,72,9,9
64,64,71,55,56,65,67,76,64,60,59,11,11
63,62,64,37,42,65,67,59,53,57,73,10,10
74,40,79,66,77,65,83,54,53,86,78,6,6
66,39,63,51,45,70,42,78,74,73,71,6,6
81,8,25,14,13,12,42,48,50,51,31,82,82
69,16,65,67,65,35,52,64,54,53,52,8,8
78,39,60,82,80,50,58,50,55,52,56,12,12
73,69,76,62,68,70,74,74,69,70,72,10,10
70,41,60,74,71,51,62,56,34,47,55,6,6
70,68,78,70,49,66,74,60,51,70,77,7,7
67,8,28,14,14,9,27,33,32,40,34,67,67
61,13,12,11,12,16,20,58,34,37,37,65,65
68,51,74,72,71,49,67,60,54,83,51,11,11
69,11,21,9,11,11,29,31,41,21,23,70,70
60,11,19,11,19,7,37,53,48,43,38,59,59
64,11,26,16,11,13,28,31,41,57,33,64,64
79,38,64,84,82,50,68,65,77,65,50,15,15
67,49,59,68,67,59,69,75,81,73,51,5,5
66,56,72,60,59,61,61,64,65,73,70,10,10
74,47,80,72,68,70,57,84,62,85,72,11,11
73,9,26,12,11,13,26,56,49,50,32,71,71
70,54,70,62,76,61,82,71,37,60,71,7,7
72,33,59,76,68,44,54,66,43,56,42,14,14
59,11,58,66,61,45,34,46,44,58,52,9,9
71,36,64,71,72,43,68,74,66,56,56,14,14
66,18,32,14,12,11,38,54,50,64,33,68,68
56,10,35,10,11,10,34,31,30,44,33,54,54
76,31,61,82,80,31,46,62,49,57,59,15,15
83,85,84,52,65,78,90,69,64,56,84,12,12
89,9,21,11,9,12,26,47,64,47,32,91,91
79,55,78,73,79,58,77,73,60,61,73,11,11
63,63,67,26,27,61,64,53,39,43,73,6,6
74,7,23,6,10,11,36,26,38,44,16,77,77
73,45,73,72,68,62,72,61,62,58,67,10,10
78,82,72,28,32,72,72,65,68,59,76,7,7
76,83,70,22,26,65,77,54,57,49,66,5,5
67,63,73,23,30,64,65,48,34,62,75,15,15
60,14,25,10,13,13,21,53,24,44,37,61,61
75,67,76,35,43,70,75,60,65,75,79,5,5
72,65,72,64,65,58,77,75,32,52,72,6,6
71,37,71,76,72,68,58,66,63,73,59,11,11
64,60,46,32,25,59,69,32,28,60,61,5,5
63,53,53,29,23,58,82,37,63,59,44,7,7
62,39,57,65,57,37,55,59,53,54,59,10,10
78,44,61,76,82,50,73,64,54,71,35,9,9
66,14,24,12,13,13,29,48,44,34,33,69,69
79,35,68,80,78,62,76,68,65,60,70,10,10
58,55,58,12,16,46,65,72,48,40,61,9,9
81,63,84,79,77,73,77,76,53,62,77,7,7
80,60,86,56,72,74,86,45,51,63,86,10,10
60,31,64,56,57,57,64,47,70,72,51,12,12
59,39,62,23,33,60,73,64,60,61,69,5,5
71,20,73,73,71,23,45,52,20,48,47,12,12
67,41,68,59,63,55,61,80,52,70,62,15,15
67,69,64,22,39,65,75,79,64,79,60,7,7
83,39,74,85,86,58,59,55,62,44,56,12,12
65,12,34,7,10,11,31,46,44,38,37,70,70
62,57,63,25,37,65,62,60,71,64,60,14,14
70,47,75,59,68,68,71,53,34,82,73,8,8
75,8,22,12,15,12,36,51,53,60,32,76,76
69,7,34,13,13,17,29,40,33,40,35,66,66
68,58,74,72,63,60,86,62,42,71,74,11,11
85,78,92,18,26,90,76,34,65,84,90,5,5
74,38,54,78,70,42,65,34,53,45,46,6,6
71,20,75,66,76,64,72,69,55,74,68,7,7
74,79,70,26,43,82,61,32,73,87,74,8,8
82,77,81,46,32,76,76,87,86,82,83,10,10
87,60,94,60,64,84,80,72,58,81,96,6,6
71,72,65,29,21,64,70,55,68,34,68,10,10
81,82,72,17,13,70,85,68,85,77,71,5,5
76,33,68,77,78,43,43,60,43,38,47,15,15
68,64,70,62,61,64,72,53,47,72,72,9,9
88,91,85,23,21,84,90,72,78,59,82,9,9
67,13,36,11,12,15,28,46,58,40,27,70,70
71,47,74,71,73,69,67,68,54,65,67,15,15
60,14,32,57,58,12,39,57,34,32,52,14,14
65,59,67,38,18,62,73,62,55,42,68,11,11
65,52,66,68,65,63,61,72,76,69,52,10,10
66,59,68,58,60,63,78,57,65,67,65,8,8
73,18,25,11,11,10,26,50,52,60,32,77,77
69,70,65,35,42,76,67,62,65,78,65,11,11
69,70,64,27,23,67,69,59,89,57,63,12,12
68,64,56,37,25,62,80,53,52,58,64,11,11
65,70,52,24,21,65,63,60,71,66,32,9,9
71,69,70,31,34,71,77,69,71,62,71,14,14
69,66,67,29,31,71,69,69,76,77,66,7,7
65,39,48,64,65,47,52,33,32,46,43,14,14
62,61,55,22,18,52,76,28,51,59,52,12,12
74,11,18,13,19,12,22,43,52,57,33,75,75
67,32,68,66,66,60,49,77,69,72,58,5,5
69,38,59,67,63,54,51,51,68,59,46,8,8
72,58,81,52,64,69,86,52,54,76,73,6,6
65,33,68,55,57,41,72,56,33,60,70,5,5
77,35,64,76,72,39,64,65,60,58,56,5,5
80,68,83,28,52,84,76,54,67,85,84,14,14
82,73,83,75,79,75,78,91,68,80,78,5,5
64,40,57,63,65,52,60,78,76,70,56,14,14
64,38,64,65,73,40,47,33,55,68,46,6,6
71,54,77,59,64,68,75,55,55,72,81,14,14
69,48,74,67,73,70,68,55,54,62,62,15,15
63,10,35,10,17,13,33,31,41,64,35,60,60
71,44,68,71,68,45,55,64,65,66,60,13,13
88,84,84,29,25,93,86,68,93,91,82,10,10
66,80,54,26,17,54,62,34,32,84,61,13,13
91,51,78,91,87,61,62,89,82,66,90,13,13
68,70,62,22,25,61,75,63,62,47,56,13,13
78,75,81,37,41,82,69,53,68,74,82,9,9
85,88,75,20,35,82,83,78,91,74,78,7,7
69,64,75,66,75,57,74,72,64,70,74,14,14
71,59,74,29,24,73,67,62,54,75,75,13,13
71,11,34,18,11,10,21,39,36,23,35,72,72
71,54,74,60,55,65,86,67,34,28,73,15,15
74,73,77,13,18,73,78,58,61,56,79,5,5
76,78,73,48,45,81,83,67,84,80,75,6,6
65,26,62,67,68,52,63,77,69,67,41,8,8
66,9,34,12,11,13,27,50,47,41,25,67,67
69,46,71,56,64,59,72,79,56,64,66,8,8
60,24,58,64,61,43,25,58,55,51,38,15,15
64,50,65,50,66,57,70,76,60,75,60,7,7
64,11,35,11,16,8,35,59,35,32,31,63,63
72,55,68,41,37,72,72,71,67,74,77,5,5
61,21,58,59,42,43,63,72,51,52,26,12,12
90,74,97,55,61,83,67,72,65,90,97,5,5
69,40,70,74,76,68,72,32,54,74,60,15,15
73,36,63,74,77,62,63,67,73,61,59,8,8
74,24,56,78,75,41,65,81,55,34,53,10,10
68,51,61,72,69,62,73,82,86,81,56,15,15
75,64,84,52,42,74,78,38,51,71,84,10,10
65,64,64,40,30,64,66,66,66,58,54,13,13
83,68,87,26,28,87,66,55,72,86,88,6,6
70,68,70,41,51,70,77,59,66,68,69,13,13
83,89,76,16,28,78,75,62,76,60,68,5,5
67,58,71,50,50,60,72,81,66,59,64,14,14
61,39,68,57,52,58,68,80,62,62,68,9,9
62,14,33,11,18,17,41,52,52,38,35,60,60
61,43,54,61,63,51,54,70,57,72,62,9,9
61,52,72,50,46,45,71,73,52,67,69,14,14
70,21,56,77,75,57,58,65,69,63,49,7,7
63,68,54,48,41,44,74,32,29,33,59,7,7
60,52,69,62,57,56,31,90,55,70,50,6,6
72,10,27,18,16,11,18,51,47,63,31,74,74
59,55,52,31,17,41,64,52,46,42,65,10,10
66,44,63,67,73,53,69,64,33,76,54,11,11
57,27,41,60,55,39,24,77,52,74,43,15,15
70,26,58,70,69,38,72,63,53,57,54,9,9
64,36,48,65,61,23,29,64,34,32,34,5,5
43,13,21,14,12,16,15,43,33,48,35,38,38
60,42,53,58,59,28,38,65,53,54,32,5,5
63,26,68,60,55,40,20,32,29,51,54,6,6
63,65,43,10,10,52,70,50,45,62,56,8,8
67,66,61,27,17,72,67,69,78,69,67,12,12
62,20,61,60,56,46,54,65,56,59,54,12,12
75,50,79,73,72,59,70,54,48,56,68,6,6
63,60,64,44,43,63,67,71,60,59,63,10,10
56,55,56,48,50,56,56,61,55,55,56,13,13
58,65,54,22,23,50,57,56,52,57,53,10,10
60,65,50,25,24,57,68,68,68,63,59,11,11
63,66,42,26,46,66,66,67,65,61,54,10,10
75,7,32,6,13,16,37,50,61,56,33,78,78
63,54,69,49,58,63,62,64,73,83,70,6,6
64,35,42,66,64,51,35,68,53,62,56,6,6
73,31,65,75,76,35,61,62,33,58,55,14,14
59,19,49,64,65,36,39,73,64,63,44,8,8
63,19,23,18,17,19,16,54,57,60,31,65,65
70,38,68,71,75,59,69,65,53,70,48,15,15
68,61,72,59,65,62,60,82,67,69,64,12,12
65,34,62,60,62,42,72,88,67,39,59,10,10
60,10,25,13,10,13,18,58,54,66,37,62,62
68,61,72,54,56,64,66,62,55,71,71,11,11
72,74,71,41,51,63,78,74,35,56,72,8,8
53,25,60,60,59,54,59,65,60,82,66,8,8
80,18,24,10,11,17,28,51,39,42,35,77,77
70,54,51,72,65,31,55,55,46,32,46,7,7
69,11,27,13,18,11,27,39,31,39,32,68,68
71,59,71,71,64,51,74,79,60,42,66,11,11
57,38,38,57,52,35,24,74,44,29,37,6,6
70,73,71,23,15,69,71,65,65,58,64,11,11
71,70,63,39,23,79,76,55,67,69,69,13,13
76,57,74,70,77,66,91,79,66,58,52,15,15
61,61,58,28,14,60,68,32,68,58,62,10,10
72,75,71,32,38,72,78,68,64,72,72,13,13
71,33,66,75,70,57,71,53,69,60,54,14,14
63,12,26,11,12,10,31,55,45,50,33,66,66
64,61,64,22,33,58,66,54,54,66,74,14,14
77,25,58,81,78,26,67,63,53,50,56,7,7
86,37,72,89,85,54,71,59,54,59,63,13,13
65,69,65,26,21,64,70,57,56,71,76,13,13
74,48,83,54,58,61,81,59,52,75,83,9,9
66,48,63,66,70,60,52,71,65,73,60,15,15
69,59,76,58,57,70,85,66,63,66,72,15,15
68,59,75,44,46,68,67,76,69,84,70,6,6
76,22,65,82,73,55,43,61,66,62,58,14,14
69,60,78,47,44,72,70,52,67,74,75,6,6
62,22,63,60,60,58,36,64,66,59,53,11,11
75,72,70,34,19,75,75,67,84,87,73,10,10
84,46,63,84,85,45,61,67,50,46,59,14,14
67,67,65,60,65,62,74,70,51,73,68,14,14
84,82,86,62,67,77,95,76,73,60,86,13,13
64,58,74,68,57,64,66,49,55,74,76,13,13
61,35,62,46,43,61,56,63,65,82,63,11,11
72,18,26,19,11,12,22,52,51,58,35,75,75
61,38,61,60,52,58,56,62,62,56,64,14,14
74,77,62,29,18,64,84,78,63,59,70,12,12
62,69,67,47,49,57,66,90,57,74,70,12,12
72,40,67,78,68,38,60,68,69,45,37,7,7
75,18,23,10,19,17,54,39,55,47,33,75,75
64,68,57,29,22,63,60,67,57,53,56,9,9
58,12,54,58,57,50,55,57,32,44,49,6,6
62,18,54,61,57,48,23,66,33,48,47,7,7
65,13,33,11,13,9,22,52,56,71,34,72,72
71,72,67,34,41,70,76,63,67,67,63,5,5
62,25,68,52,60,44,61,56,54,67,68,15,15
65,45,67,50,50,63,70,67,76,60,65,9,9
74,17,27,12,11,18,39,51,48,60,33,74,74
66,62,61,34,26,64,74,51,50,61,56,14,14
64,53,68,44,49,63,65,78,47,60,61,14,14
53,11,21,13,16,11,30,46,40,51,35,45,45
70,10,35,12,11,8,31,51,55,46,31,72,72
69,31,60,71,70,52,52,66,72,72,49,11,11
65,10,37,13,12,14,45,32,40,46,38,66,66
64,38,62,60,60,55,58,61,52,56,43,8,8
71,60,70,66,63,60,80,69,52,47,56,5,5
76,77,77,52,41,71,83,90,67,61,76,7,7
66,66,75,70,57,42,77,63,65,66,63,12,12
68,49,66,69,63,59,70,76,66,69,63,7,7
68,12,34,15,11,14,32,52,42,41,25,65,65
67,60,70,43,60,70,78,73,67,72,71,13,13
71,16,31,11,12,9,34,49,59,62,36,74,74
63,32,49,63,54,39,49,36,64,49,35,8,8
67,70,60,30,47,58,68,82,64,78,45,5,5
81,12,32,10,13,12,25,32,48,50,31,83,83
66,12,32,7,13,10,35,51,52,55,35,70,70
67,56,71,62,50,64,68,84,51,60,69,7,7
78,59,66,80,71,30,84,55,27,30,44,13,13
63,9,31,11,12,11,22,32,64,45,26,60,60
72,54,73,63,59,60,69,75,64,68,66,15,15
76,54,76,74,73,58,74,75,48,63,76,13,13
74,33,66,79,76,53,47,62,54,59,40,7,7
66,39,68,67,66,52,57,59,41,60,59,13,13
65,43,74,58,62,56,60,78,52,64,38,6,6
78,68,85,45,58,66,87,68,48,63,84,9,9
77,13,11,12,11,13,22,53,54,55,32,81,81
68,18,33,9,11,12,31,50,59,29,35,74,74
72,65,71,14,24,71,87,53,74,65,79,11,11
65,32,74,28,24,66,77,69,74,70,60,13,13
65,20,57,63,58,40,60,64,64,48,34,14,14
74,8,32,9,10,13,12,48,49,41,14,74,74
71,60,75,61,39,77,80,80,62,65,79,11,11
74,75,70,24,21,73,80,53,59,57,70,5,5
64,48,66,62,53,61,72,75,67,66,63,11,11
61,43,67,55,57,54,57,66,58,72,64,10,10
67,62,71,48,46,65,76,44,42,72,81,9,9
63,33,64,55,56,54,66,85,57,59,54,12,12
68,18,23,19,8,13,23,52,54,64,32,72,72
73,55,64,68,67,48,65,73,74,57,58,15,15
64,42,64,66,68,55,52,68,70,70,59,14,14
71,64,74,32,35,77,80,36,62,86,79,5,5
61,10,64,61,56,38,12,72,51,73,52,11,11
61,61,34,19,10,67,69,67,81,86,54,11,11
66,43,62,69,71,51,55,79,53,74,62,8,8
69,22,52,68,70,44,38,54,44,69,38,7,7
63,21,27,71,65,35,45,53,67,67,53,11,11
62,34,43,60,57,24,31,77,49,32,22,10,10
66,69,62,23,31,65,65,88,81,86,65,6,6
56,55,58,54,50,44,58,73,65,69,55,13,13
62,25,30,64,65,27,24,49,33,41,32,12,12
75,11,32,11,13,12,39,56,44,62,32,74,74
60,60,58,36,23,42,67,60,33,54,62,5,5
68,66,71,66,59,67,76,63,65,44,71,7,7
63,50,71,52,51,43,60,81,46,72,65,5,5
54,23,41,62,54,28,27,64,52,60,32,13,13
59,54,62,57,52,59,48,78,52,62,58,5,5
60,21,55,64,64,40,44,84,56,92,46,13,13
69,37,66,64,68,53,63,77,49,73,71,9,9
73,37,60,69,76,37,79,65,55,43,57,14,14
60,55,53,28,27,54,61,57,71,63,64,8,8
65,53,59,68,68,71,72,68,74,71,61,14,14
64,16,21,16,18,16,16,52,60,43,32,63,63
61,21,38,58,65,27,25,55,52,53,33,15,15
60,64,46,31,25,60,65,56,64,49,50,13,13
59,33,54,64,61,44,51,81,61,78,32,6,6
58,11,10,14,13,14,14,31,50,49,33,54,54
68,70,32,25,12,65,72,73,73,77,58,11,11
58,57,57,18,32,46,63,83,64,58,64,13,13
55,56,62,45,20,28,66,22,25,46,71,10,10
63,64,60,25,21,61,61,71,59,78,65,10,10
68,64,73,28,15,71,72,69,62,80,67,14,14
65,55,70,46,53,67,68,70,60,75,73,6,6
67,67,62,33,25,65,74,64,63,47,61,14,14
61,56,63,47,60,65,61,72,66,83,62,7,7
60,61,53,25,21,47,63,80,62,52,47,13,13
56,42,68,34,44,35,62,47,42,74,61,9,9
65,42,50,65,65,39,39,64,51,54,39,15,15
62,53,66,18,10,64,67,62,72,57,58,6,6
70,70,72,32,43,73,73,73,69,66,71,7,7
61,27,65,52,56,47,62,90,74,62,56,5,5
61,14,28,11,23,13,33,52,54,55,39,66,66
57,51,60,59,56,54,54,67,56,58,58,12,12
54,40,45,57,54,32,22,64,50,58,49,10,10
68,10,29,11,14,11,31,46,45,51,32,61,61
60,49,64,62,60,59,71,60,43,68,51,8,8
56,54,65,54,53,64,56,30,30,58,71,7,7
70,41,64,65,72,56,56,61,33,56,56,9,9
59,56,67,42,58,53,61,86,65,61,67,10,10
71,68,72,45,44,71,74,70,64,70,74,15,15
54,12,22,13,13,13,25,45,41,44,23,55,55
57,34,38,56,56,43,50,33,33,34,54,6,6
66,73,59,11,12,67,72,69,67,74,60,15,15
80,52,82,67,78,65,84,76,54,50,77,6,6
68,67,67,55,62,67,74,75,73,75,68,9,9
59,48,50,30,23,66,70,51,69,66,58,12,12
63,48,55,57,49,69,55,66,82,64,52,15,15
75,60,83,59,68,67,75,79,65,64,77,8,8
76,69,85,13,13,79,58,32,54,66,90,6,6
66,59,63,54,45,65,69,71,71,70,65,8,8
65,73,60,35,29,49,71,67,32,38,58,15,15
68,40,61,66,61,57,75,77,49,56,58,14,14
66,38,64,66,63,62,54,75,71,79,57,9,9
74,31,77,48,52,59,82,64,44,70,83,14,14
65,11,10,13,15,17,35,35,32,32,19,69,69
61,39,61,53,59,61,80,68,60,74,58,12,12
63,66,52,28,25,39,74,56,34,67,44,12,12
74,80,64,21,21,54,80,68,54,62,67,10,10
75,66,59,25,27,72,83,79,74,65,66,11,11
70,46,73,67,66,73,78,67,65,61,71,6,6
77,24,52,73,83,47,69,74,65,65,60,13,13
57,54,62,41,54,53,72,59,63,62,56,8,8
75,61,80,69,70,64,78,54,52,78,85,9,9
67,38,60,60,72,48,65,31,23,48,54,7,7
86,68,86,76,81,80,86,93,79,65,86,13,13
62,50,60,52,61,52,66,63,65,63,64,7,7
66,44,60,67,66,54,52,87,52,78,60,10,10
63,44,61,63,63,60,64,64,60,73,55,5,5
75,18,37,16,19,10,22,52,43,21,30,76,76
79,66,74,42,38,83,72,67,77,67,78,5,5
61,39,66,39,48,48,76,49,54,67,68,2,2
70,32,72,68,69,69,65,83,59,71,56,9,9
61,13,60,58,62,55,35,76,34,70,53,11,11
75,11,26,16,11,13,32,52,36,30,39,74,74
64,56,60,29,70,56,83,76,72,65,71,7,7
83,74,77,11,15,89,81,66,84,80,74,12,12
66,42,67,67,71,66,60,63,68,58,64,7,7
71,30,65,74,65,44,77,33,34,65,55,8,8
79,73,82,50,56,75,89,60,65,74,84,5,5
75,54,77,74,72,64,66,75,67,72,72,5,5
83,73,86,23,32,86,74,71,79,75,86,7,7
92,91,82,22,23,91,94,87,94,75,80,7,7
66,13,23,10,10,10,23,50,55,34,34,64,64
77,85,76,23,20,71,79,71,69,73,76,11,11
73,72,63,32,26,71,83,71,73,64,56,13,13
73,64,78,77,81,80,81,55,53,59,74,8,8
63,21,53,65,56,46,34,70,59,64,29,13,13
67,55,67,27,15,67,71,49,55,72,76,7,7
60,36,63,55,58,58,66,79,77,74,50,15,15
66,49,48,64,67,58,45,50,55,42,57,12,12
81,63,85,71,72,74,78,79,65,63,79,13,13
48,42,46,41,42,44,71,50,63,66,66,6,6
77,15,38,9,8,14,75,36,42,62,31,81,81
67,37,57,67,65,47,67,66,65,58,49,13,13
56,11,17,12,9,10,35,32,44,51,33,56,56
61,60,58,26,28,61,52,64,82,90,56,9,9
70,12,20,10,11,11,22,45,49,44,32,72,72
75,80,68,17,26,54,80,31,49,34,72,12,12
69,45,69,62,58,71,75,69,75,79,58,14,14
75,61,77,64,51,79,76,79,76,72,78,7,7
84,35,64,90,86,38,73,50,59,58,52,8,8
74,48,76,71,79,64,83,82,65,79,73,13,13
52,40,62,59,57,50,55,61,51,81,54,8,8
67,50,70,71,65,48,55,84,54,59,68,14,14
69,58,68,19,23,72,54,62,65,74,73,5,5
76,60,84,60,66,75,74,50,54,84,84,8,8
75,72,64,32,48,62,86,46,78,42,62,15,15
77,28,60,85,78,34,66,32,34,50,48,13,13
83,14,19,12,13,10,29,34,63,60,32,83,83
70,33,66,69,70,61,71,75,72,66,51,9,9
62,60,51,44,51,65,60,70,71,62,57,8,8
78,52,63,80,71,33,63,56,49,44,53,11,11
74,68,78,80,75,70,72,49,68,78,70,7,7
72,27,67,72,70,32,67,50,46,47,52,9,9
65,19,28,14,14,11,23,46,52,32,32,65,65
62,54,59,68,69,49,63,51,33,59,60,13,13
82,86,73,17,23,80,81,66,64,63,76,7,7
75,75,70,17,30,64,82,63,53,48,62,12,12
75,52,74,66,68,62,83,70,68,52,61,14,14
75,41,74,70,72,60,77,62,50,63,74,15,15
76,29,65,77,75,52,40,63,73,34,56,8,8
70,36,72,67,71,57,57,65,42,70,67,8,8
65,72,52,27,21,55,68,60,57,64,54,9,9
69,10,33,11,10,13,37,52,57,60,31,71,71
74,27,73,74,76,62,63,76,79,84,56,10,10
71,13,36,14,14,13,18,52,52,55,34,72,72
69,73,56,20,13,57,65,70,67,63,50,9,9
67,47,67,62,65,57,71,78,60,60,62,6,6
62,13,35,30,24,18,17,51,55,57,33,64,64
69,41,70,67,68,59,60,75,66,82,65,8,8
83,72,88,12,19,88,80,41,51,82,90,7,7
69,28,66,69,66,58,53,85,74,72,49,13,13
56,38,50,54,56,58,64,64,63,58,62,10,10
76,58,81,58,63,80,71,68,74,75,82,12,12
72,51,77,39,46,72,73,75,57,81,77,9,9
72,14,22,12,12,13,13,30,51,39,33,73,73
62,61,60,60,61,51,76,72,67,60,63,11,11
61,53,63,66,61,51,66,58,48,51,36,6,6
65,33,63,63,63,53,71,39,28,33,57,5,5
82,88,83,11,10,82,84,55,68,52,75,15,15
54,34,53,51,57,42,78,70,64,62,72,12,12
68,26,65,68,63,33,65,72,66,57,55,11,11
74,59,75,66,72,68,60,86,66,74,71,5,5
70,60,73,63,74,61,89,55,64,70,71,8,8
75,31,74,74,73,48,50,46,41,40,56,9,9
