고객ID,이탈여부,총 매출액,방문빈도,1회 평균매출액,할인권 사용 횟수,총 할인 금액,고객등급,구매유형,클레임접수여부,구매 카테고리 수,거주지역,성별,고객 나이대,거래기간,할인민감여부,멤버쉽 프로그램 가입전 만족도,멤버쉽 프로그램 가입후 만족도,Recency,Frequency,Monetary,상품 만족도,매장 만족도,서비스 만족도,상품 품질,상품 다양성,가격 적절성,상품 진열 위치,상품 설명 표시,매장 청결성,공간 편의성,시야 확보성,음향 적절성,안내 표지판 설명,친절성,신속성,책임성,정확성,전문성,D1,D2,D3
14,0,4098600,15,273240,14,334100,2,4,1,4,4,1,4,1075,0,4,6,7,3,4,4,4,5,6,7,6,6,6,6,7,6,6,6,4,5,7,6,6,0,0,1
15,0,3754700,21,178795,23,380200,2,4,1,3,3,1,6,1068,0,5,6,7,4,3,4,5,5,6,5,6,6,7,6,5,6,6,7,4,5,5,5,5,0,0,1
16,0,9345420,27,346127,30,379750,1,2,0,6,6,1,4,1039,0,4,6,7,4,6,5,4,7,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,1,0,0
17,0,3913900,21,186376,18,342145,1,4,0,5,5,1,3,1077,0,6,7,7,4,3,5,6,6,5,6,6,7,6,5,5,6,6,5,5,5,6,5,5,0,0,1
18,0,8067440,56,144061,22,350745,1,2,0,6,6,1,3,1068,0,7,7,7,5,6,5,7,7,5,5,6,7,6,6,6,5,5,5,7,6,5,5,6,1,0,0
19,1,8421390,9,935710,16,365845,1,3,1,6,6,1,5,615,0,2,6,2,2,6,4,4,4,5,6,6,6,.,6,5,5,6,7,6,6,5,6,6,0,1,0
20,0,9152350,16,572022,23,380345,1,3,0,6,6,1,8,1084,0,4,6,7,3,6,3,6,6,4,4,4,5,5,5,5,4,4,4,4,5,5,4,4,0,1,0
21,0,3563500,21,169690,20,346850,1,2,0,6,6,0,6,1024,0,3,6,7,4,3,5,3,4,6,7,6,6,6,6,7,6,7,6,5,6,6,6,5,1,0,0
22,0,4916090,28,175575,15,325100,1,2,0,5,5,1,7,1042,0,5,5,7,4,4,4,5,6,6,5,7,6,6,6,5,6,5,6,5,5,6,6,5,1,0,0
23,0,5909890,12,492491,3,43695,1,4,1,6,6,1,4,1060,0,5,4,7,3,5,6,5,7,6,7,6,6,7,6,7,6,7,6,6,7,6,6,6,0,0,1
24,0,4816230,17,283308,11,296450,1,4,0,6,6,1,7,1049,0,4,5,7,3,4,5,4,6,7,6,6,5,5,5,7,6,5,5,6,5,6,6,6,0,0,1
25,0,3060440,28,109301,27,357895,1,4,1,5,5,1,3,1056,0,5,6,7,4,3,4,5,7,7,6,6,6,5,6,7,5,6,6,6,7,6,6,6,0,0,1
26,0,3648320,5,729664,23,380845,2,3,1,3,3,0,5,1037,0,3,6,7,1,3,5,4,2,5,6,6,6,6,6,5,5,6,5,6,6,5,5,5,0,1,0
27,0,2474950,15,164997,7,210500,1,4,0,5,5,1,9,1049,0,5,6,7,3,1,4,5,5,4,3,4,4,4,5,4,4,4,4,4,3,4,4,4,0,0,1
28,0,3235450,48,67405,15,326295,1,2,0,5,5,1,3,1067,0,4,6,7,5,3,6,4,7,7,6,6,7,7,7,7,7,6,5,7,6,6,7,7,1,0,0
29,0,3990750,12,332563,3,43000,2,4,1,4,4,1,4,1031,0,5,5,7,3,3,4,5,6,7,6,6,6,7,6,7,6,7,6,6,7,6,6,7,0,0,1
30,0,9062030,12,755169,28,375900,1,3,1,5,5,1,5,985,0,7,6,6,3,6,5,5,5,6,5,6,5,6,5,5,6,6,5,6,5,6,6,5,0,1,0
31,0,11879990,42,282857,12,214435,1,2,0,5,5,1,4,1070,0,7,6,7,5,6,7,7,7,6,5,6,5,6,5,5,6,6,5,6,5,6,6,5,1,0,0
32,0,8173700,13,628746,22,351495,1,3,1,6,6,1,4,1075,0,5,6,7,3,6,4,5,6,5,6,6,5,6,5,6,6,6,5,5,6,6,5,6,0,1,0
33,0,2833870,33,85875,15,325350,2,4,0,4,4,0,6,1034,0,2,5,7,5,2,2,4,5,6,5,5,6,5,4,5,5,5,4,5,4,5,5,5,0,0,1
34,0,3327410,8,415926,18,342645,2,4,1,4,4,1,7,1060,0,3,4,7,2,3,3,6,5,7,6,6,7,7,7,7,7,6,6,7,7,6,6,6,0,0,1
35,0,4256270,9,472919,5,131150,2,4,0,2,2,1,5,920,0,4,6,7,2,4,5,5,6,5,4,5,6,5,6,6,5,6,6,6,6,5,6,6,0,0,1
36,0,5088900,32,159028,18,341645,1,2,0,6,6,1,6,1049,0,4,5,7,5,4,6,6,5,5,6,6,5,5,5,6,5,5,5,4,6,6,5,5,1,0,0
37,0,5541350,15,369423,21,348445,1,4,0,5,5,0,3,992,0,4,7,7,3,5,4,5,6,7,6,6,5,6,6,6,6,7,6,6,5,6,6,6,0,0,1
38,0,2870000,18,159444,15,327045,2,4,1,4,4,1,5,1056,0,7,7,7,3,2,6,6,6,4,5,4,5,5,5,6,5,5,5,5,5,5,4,5,0,0,1
39,0,5781620,23,251375,30,380500,1,2,0,5,5,1,4,1062,0,2,3,7,4,5,3,4,4,7,6,6,6,5,6,6,7,7,7,5,5,6,6,6,1,0,0
40,0,14410060,24,600419,15,326795,1,3,0,7,7,1,3,1089,0,4,6,7,4,7,3,4,5,7,6,6,5,5,5,6,7,6,5,5,7,6,6,6,0,1,0
41,0,4365540,18,242530,30,381695,1,4,0,5,5,1,8,1047,0,3,7,7,3,4,5,5,6,6,6,5,6,5,6,6,6,5,6,6,5,6,5,6,0,0,1
42,0,3493340,18,194074,16,365900,1,4,0,6,6,1,6,1070,0,4,6,7,3,3,5,4,7,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,0,0,1
43,0,6931210,38,182400,19,351635,1,2,0,6,6,1,6,1090,0,5,7,7,5,5,6,5,5,5,6,6,6,.,5,7,5,5,5,6,6,5,6,6,1,0,0
44,0,4600130,27,170375,22,350550,1,4,1,7,7,1,3,1035,0,5,5,7,4,4,6,5,5,6,6,5,.,6,6,6,5,6,6,6,6,6,6,6,0,0,1
45,0,5430530,15,362035,1,4945,1,4,0,6,6,1,3,850,1,4,6,7,3,4,6,4,5,7,6,4,5,6,7,6,5,5,7,6,5,4,5,6,0,0,1
46,0,6928330,34,203774,11,295950,2,2,1,4,4,1,8,1081,0,2,4,7,5,5,2,5,4,5,5,5,4,4,5,4,5,5,5,5,4,4,4,4,1,0,0
47,0,3681930,16,230121,20,346950,1,4,0,5,5,1,8,1049,1,6,7,7,3,3,6,6,6,6,6,7,6,6,6,7,7,7,7,7,6,6,6,7,0,0,1
48,0,10509620,36,291934,18,341895,1,2,0,5,5,1,3,1076,0,4,4,7,5,6,5,4,6,6,6,5,5,5,7,6,6,7,7,6,6,7,6,6,1,0,0
49,0,4634960,23,201520,1,7400,1,4,1,5,5,1,2,1051,0,4,6,7,4,4,6,4,7,5,6,4,5,.,5,4,5,4,6,7,5,5,5,5,0,0,1
50,0,6273050,19,330161,28,376650,1,4,1,5,5,1,5,1059,0,5,5,7,3,5,6,5,6,6,6,6,7,6,7,6,6,7,6,5,6,5,6,6,0,0,1
51,0,3225460,8,403183,19,365795,1,1,0,5,5,0,3,946,1,6,6,6,2,3,4,6,3,6,5,5,5,6,5,6,5,5,5,5,5,5,5,5,0,0,0
52,0,19283170,33,584338,1,3750,1,3,0,5,5,0,4,1056,0,6,6,7,5,7,4,6,7,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,0,1,0
53,0,5147360,29,177495,1,4250,2,4,1,4,4,1,2,1047,0,5,6,7,4,4,6,5,7,5,5,6,7,6,5,5,6,7,7,5,6,6,5,5,0,0,1
54,0,10925090,41,266466,19,367045,1,2,0,7,7,1,8,1092,0,6,6,7,5,6,6,6,6,5,6,6,5,6,5,5,5,6,5,5,6,6,5,6,1,0,0
55,0,3558120,10,355812,18,342395,1,4,1,5,5,1,4,1076,0,6,7,7,3,3,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,0,0,1
56,0,6387320,34,187862,19,367945,1,2,0,5,5,1,3,817,0,7,7,4,5,5,7,7,7,5,5,6,.,6,6,5,5,6,5,5,5,6,6,5,1,0,0
57,0,3427440,19,180392,27,358145,1,4,1,6,6,1,3,1047,0,5,6,7,3,3,6,5,7,7,6,6,.,.,6,7,6,5,6,5,4,4,4,4,0,0,1
58,0,4755910,12,396326,11,295450,1,4,0,5,5,0,6,980,0,3,7,7,3,4,2,4,6,5,6,6,6,6,6,6,6,6,6,6,5,6,5,5,0,0,1
59,0,14091390,56,251632,22,351745,1,2,0,5,5,1,7,1089,0,5,5,7,5,7,6,5,6,6,5,6,6,6,6,7,6,6,5,4,5,6,5,5,1,0,0
60,0,6482450,28,231516,5,131150,1,4,1,5,5,1,5,1057,0,2,3,7,4,5,3,4,4,7,6,6,6,5,6,6,7,7,7,5,5,6,6,6,0,0,1
61,0,5413390,60,90223,10,304645,1,2,0,5,5,1,7,1067,0,5,7,7,6,4,6,5,6,7,6,6,7,7,7,7,6,7,6,5,5,6,7,6,1,0,0
62,0,19067940,23,829041,28,376150,1,3,1,6,6,1,3,1061,1,3,4,7,4,7,2,4,5,7,6,6,.,6,7,7,6,6,5,4,5,5,5,5,0,1,0
63,0,9736790,27,360622,19,365600,2,4,0,4,4,0,7,1053,0,4,7,7,4,6,5,4,5,5,4,5,5,.,5,6,4,4,5,6,5,5,5,5,0,0,1
64,1,2301730,10,230173,17,365395,1,4,0,6,6,1,8,693,0,5,6,2,3,1,4,5,6,6,5,7,.,.,6,7,6,7,6,6,6,6,7,6,0,0,1
65,0,25789080,39,661258,8,261200,1,3,0,6,6,1,6,1065,0,4,5,7,5,7,4,6,6,6,6,5,6,6,5,6,6,5,6,7,7,6,6,6,0,1,0
66,0,5881680,30,196056,23,379900,1,4,1,5,5,1,6,1060,0,5,7,7,5,5,4,5,6,6,5,6,6,6,6,6,7,6,5,6,7,6,6,6,0,0,1
67,0,4986100,48,103877,20,347600,1,2,0,5,5,1,4,1060,0,4,7,7,5,4,6,6,7,7,6,5,5,7,7,4,5,4,6,6,5,6,7,6,1,0,0
68,0,13038990,24,543291,5,130900,1,3,0,6,6,0,5,1069,0,2,3,7,4,7,2,4,4,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,0,1,0
69,0,2277570,8,284696,21,348000,1,4,0,5,5,1,7,970,0,5,7,6,2,1,4,5,5,7,6,5,.,.,7,6,5,6,7,6,6,5,6,6,0,0,1
70,0,3312450,14,236604,23,380145,2,1,1,4,4,1,2,989,0,6,7,7,3,3,3,2,6,6,6,6,6,.,6,7,6,7,6,7,6,6,7,6,0,0,0
71,0,4077650,20,203883,7,209250,2,4,1,4,4,1,4,1088,0,4,5,7,4,4,6,5,6,7,6,4,5,6,7,6,5,5,7,6,5,4,5,6,0,0,1
72,1,6636750,7,948107,28,377345,2,3,1,4,4,1,3,528,0,5,6,1,2,5,4,5,6,5,5,4,5,5,5,4,4,4,4,4,5,5,4,4,0,1,0
73,1,9773200,7,1396171,23,379595,2,3,0,3,3,1,3,549,0,4,7,2,2,6,3,4,6,5,7,6,6,7,6,7,6,6,7,5,7,6,6,6,0,1,0
74,0,5548610,25,221944,24,359750,1,4,0,5,5,1,2,898,1,4,7,7,4,5,5,4,5,5,4,5,5,.,5,6,4,4,5,6,5,5,5,5,0,0,1
75,0,3486840,19,183518,3,43500,2,4,0,4,4,0,2,982,0,4,4,7,3,3,3,5,6,4,5,6,5,4,4,6,5,5,6,5,4,5,5,5,0,0,1
76,0,5496450,14,392604,8,262645,1,4,1,6,6,1,3,968,0,6,6,7,3,4,5,3,2,6,6,6,6,5,6,6,6,6,7,5,6,6,7,6,0,0,1
77,0,7681940,32,240061,25,358495,1,2,1,5,5,1,9,1073,0,3,4,7,5,5,4,4,6,6,7,6,6,6,6,5,5,5,5,6,6,5,5,6,1,0,0
78,0,2335780,33,70781,27,357200,1,2,0,5,5,1,3,1088,0,4,7,7,5,1,4,5,6,7,6,6,5,6,6,6,6,7,6,6,5,6,6,6,1,0,0
79,0,2685600,32,83925,8,262145,1,2,1,5,5,1,4,1078,0,2,4,7,5,2,5,3,7,4,5,5,4,5,4,4,5,5,4,5,6,5,5,5,1,0,0
80,0,3709630,22,168620,1,6900,1,4,0,5,5,1,6,1066,0,2,7,7,4,3,2,4,5,7,7,7,7,7,6,7,7,6,5,3,5,7,6,7,0,0,1
81,0,4034640,18,224147,16,365650,1,4,1,6,6,1,7,1038,0,4,6,7,3,4,5,4,6,6,4,5,4,7,4,6,5,7,6,6,5,6,5,6,0,0,1
82,0,4148390,17,244023,1,5195,1,4,1,6,6,1,2,1077,0,4,4,7,3,4,5,4,7,7,6,6,7,6,6,7,6,6,6,6,5,6,6,6,0,0,1
83,0,6570600,10,657060,29,374050,2,3,1,4,4,1,9,1057,0,5,6,7,3,5,6,5,5,5,6,4,5,6,4,6,5,5,6,6,5,5,4,5,0,1,0
84,0,3730180,30,124339,21,348445,1,2,0,7,7,1,4,1072,0,5,7,7,5,3,6,5,7,7,6,7,6,6,7,6,6,6,6,6,7,6,6,7,1,0,0
85,0,2487200,9,276356,18,340700,2,4,0,3,3,0,1,1034,1,4,5,7,2,1,6,5,6,7,6,4,5,6,7,6,5,5,7,6,5,4,5,6,0,0,1
86,0,17404230,23,756706,22,351245,2,3,1,4,4,1,2,1082,1,2,5,7,4,7,2,4,5,7,7,7,7,7,6,7,7,6,5,3,5,7,6,7,0,1,0
87,0,15403150,80,192539,23,379200,1,2,0,6,6,1,5,1087,0,4,6,7,6,7,6,6,6,7,6,6,7,7,7,7,6,7,6,5,5,6,7,6,1,0,0
88,0,7843000,18,435722,10,303950,2,4,0,4,4,1,3,887,0,4,5,7,3,5,5,4,6,6,5,6,5,5,6,5,5,5,4,3,2,3,3,3,0,0,1
89,0,3314500,12,276208,25,357550,1,4,1,5,5,1,3,1077,0,5,5,7,3,3,6,5,5,6,5,6,5,5,4,4,4,6,5,5,6,5,5,6,0,0,1
90,0,5838300,15,389220,11,296700,2,4,0,2,2,1,3,1023,1,2,3,7,3,5,2,5,4,7,6,6,6,6,5,6,5,6,5,4,5,5,6,5,0,0,1
91,0,10022560,50,200451,8,261450,1,2,0,7,7,1,3,1088,0,3,4,7,5,6,5,6,5,5,4,5,4,5,7,7,6,7,6,5,4,5,5,5,1,0,0
92,0,3781460,9,420162,12,303445,1,4,1,5,5,1,5,1036,0,5,6,7,2,3,4,3,4,5,6,5,5,5,6,5,5,4,5,5,5,6,5,5,0,0,1
93,0,6152730,43,143087,7,210945,1,2,1,6,6,1,3,1059,0,5,7,7,5,5,6,5,5,5,6,6,6,.,5,7,5,5,5,6,6,5,6,6,1,0,0
94,0,27186350,71,382906,1,7400,1,2,0,7,7,0,4,1095,1,3,3,7,6,7,7,6,6,7,6,6,7,6,5,6,5,6,5,5,3,6,6,6,1,0,0
95,0,9847670,42,234468,22,350800,1,2,1,5,5,1,4,1069,0,4,5,7,5,6,3,5,6,6,6,6,.,.,6,7,6,6,5,6,5,6,6,6,1,0,0
96,0,4273900,15,284927,19,366295,1,4,0,5,5,1,7,1090,0,4,7,7,3,4,3,4,6,6,5,5,5,6,6,5,5,5,5,5,6,5,5,5,0,0,1
97,0,12414680,66,188101,12,303945,1,2,0,5,5,1,4,1092,1,2,7,7,6,6,5,7,6,6,7,6,6,5,6,6,7,5,6,5,6,6,6,6,1,0,0
98,0,12275570,41,299404,4,57700,1,2,0,6,6,1,2,1057,0,2,4,7,5,6,7,7,7,7,7,6,6,4,7,6,7,6,7,6,7,6,7,6,1,0,0
99,0,2316200,18,128678,9,247100,2,4,0,4,4,1,4,1079,0,3,6,7,3,1,3,3,4,6,5,6,6,5,6,7,6,6,6,6,7,6,5,6,0,0,1
100,0,2769210,5,553842,27,356450,2,3,0,3,3,0,7,965,0,3,4,6,1,2,3,2,4,6,5,5,6,6,7,7,6,7,6,6,6,7,7,6,0,1,0
101,0,3724200,7,532029,8,261700,2,3,1,3,3,1,6,1034,0,3,7,7,2,3,2,3,5,6,7,6,6,.,7,7,6,6,6,5,3,6,6,6,0,1,0
102,0,13697240,78,175606,9,245850,1,2,0,6,6,1,6,1093,0,7,6,7,6,7,7,7,7,6,5,6,5,6,5,5,6,6,5,6,5,6,6,5,1,0,0
103,0,5574430,30,185814,7,209750,1,4,0,5,5,1,4,1064,0,7,7,7,5,5,7,7,7,5,5,6,.,6,6,5,5,6,5,5,5,6,6,5,0,0,1
104,0,2397200,12,199767,22,350300,1,4,1,6,6,1,3,987,0,3,3,7,3,1,6,5,6,7,6,6,6,5,7,6,6,7,6,7,7,7,6,6,0,0,1
105,0,46125950,73,631862,7,210250,1,3,1,7,7,1,6,1076,0,4,4,7,6,7,6,7,5,7,6,6,5,6,5,5,6,5,5,5,5,5,5,5,0,1,0
106,0,3895100,14,278221,30,315600,1,4,0,5,5,0,5,1065,0,5,5,7,3,3,6,5,7,6,5,6,6,5,5,6,6,6,6,6,6,6,6,6,0,0,1
107,0,2442690,10,244269,16,364650,1,1,0,5,5,1,5,1043,0,2,3,7,3,1,2,4,4,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,0,0,0
108,0,2906180,26,111776,9,246350,1,4,1,5,5,1,7,1063,0,2,7,7,4,2,2,4,5,7,7,7,7,7,6,7,7,6,5,3,5,7,6,7,0,0,1
109,0,42489170,54,786836,18,341200,1,3,0,6,6,1,6,1073,0,5,6,7,5,7,6,5,5,5,6,6,6,6,6,5,5,6,5,6,6,5,5,5,0,1,0
110,0,5998850,21,285660,27,356950,1,2,0,5,5,1,8,1085,0,2,6,7,4,5,2,4,5,5,5,6,6,6,6,6,6,6,5,5,2,3,5,3,1,0,0
111,0,6134260,27,227195,20,346850,1,4,1,5,5,1,3,1025,0,6,7,7,4,5,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,0,0,1
112,0,9193710,43,213807,28,376900,1,2,0,7,7,1,1,1089,0,4,6,7,5,6,7,5,6,6,6,6,6,.,6,5,6,6,5,6,5,6,6,6,1,0,0
113,0,6524450,33,197711,19,364850,1,2,0,6,6,0,8,1079,0,5,7,7,5,5,6,5,7,5,6,5,5,5,5,6,5,5,6,6,5,6,5,6,1,0,0
114,0,10240790,25,409632,16,366345,1,2,1,7,7,1,7,1079,0,4,5,7,4,6,3,5,6,6,6,6,.,.,6,7,6,6,5,6,5,6,6,6,1,0,0
115,0,4437460,29,153016,22,351245,1,2,1,5,5,1,3,1081,0,2,6,7,4,4,4,4,4,6,5,5,5,6,5,5,6,5,6,5,5,6,6,6,1,0,0
116,0,4160240,24,173343,12,302250,1,2,0,5,5,1,2,1035,0,2,6,7,4,4,4,4,4,6,5,5,5,6,5,5,6,5,6,5,5,6,6,6,1,0,0
117,0,6917840,21,329421,13,324545,2,2,0,3,3,1,4,1012,0,2,3,7,4,5,2,5,4,7,6,6,6,6,5,6,5,6,5,4,5,5,6,5,1,0,0
118,0,5059560,13,389197,23,379700,1,4,0,7,7,0,5,1038,0,3,6,7,3,4,5,4,7,6,6,7,6,6,6,7,6,6,6,7,6,6,6,6,0,0,1
119,0,5723790,37,154697,4,59145,1,2,1,5,5,1,9,1070,0,4,5,7,5,5,7,5,6,6,6,6,7,7,6,5,5,6,5,5,4,5,5,5,1,0,0
120,0,19442460,32,607577,26,365400,1,3,1,5,5,1,3,1082,1,6,6,7,5,7,4,7,7,6,5,5,6,5,5,6,5,6,5,4,5,6,5,5,0,1,0
121,0,3170750,25,126830,24,360445,2,4,0,4,4,1,5,1040,0,4,5,7,4,3,3,6,6,3,5,5,6,5,4,6,5,6,4,3,5,4,3,4,0,0,1
122,0,10360200,37,280005,20,348045,1,2,0,7,7,1,7,1088,0,3,3,7,5,6,6,5,6,7,6,6,6,5,7,6,6,7,6,7,7,7,6,6,1,0,0
123,0,9281420,45,206254,16,366845,2,2,1,4,4,1,5,741,0,3,5,3,5,6,6,6,6,6,5,6,6,6,6,5,6,6,7,5,6,6,5,5,1,0,0
124,0,6694400,34,196894,6,186100,1,2,1,5,5,1,3,1094,0,5,4,7,5,5,6,5,7,6,7,6,6,7,6,7,6,7,6,6,7,6,6,6,1,0,0
125,0,3494610,7,499230,7,210445,2,4,1,4,4,1,4,1044,0,4,7,7,2,3,3,4,3,4,6,5,6,.,5,6,4,6,5,4,5,5,6,5,0,0,1
126,0,9394510,25,375780,23,380095,1,4,0,6,6,1,5,1055,0,3,5,7,4,6,5,6,6,7,6,6,6,7,5,5,6,6,7,7,7,6,6,6,0,0,1
127,0,5601500,29,193155,9,247545,1,2,1,6,6,1,8,1081,0,5,6,7,4,5,6,5,7,7,6,6,7,6,7,6,6,6,7,6,5,6,5,5,1,0,0
128,0,3828590,26,147253,28,386200,2,2,1,3,3,1,6,1031,0,2,3,7,4,3,3,4,4,7,6,6,6,5,6,6,7,7,7,5,5,6,6,6,1,0,0
129,0,2902420,27,107497,14,355000,1,2,1,5,5,1,8,1006,0,2,4,7,4,2,2,5,5,7,7,6,6,6,6,7,6,6,6,4,4,6,6,6,1,0,0
130,0,3696020,33,112001,10,303950,1,2,1,5,5,1,3,1073,0,3,4,7,5,3,5,5,4,6,5,5,6,6,7,7,6,7,6,6,6,7,7,6,1,0,0
131,0,4978750,47,105931,19,366545,1,2,0,6,6,1,1,1080,0,6,6,7,5,4,4,6,6,6,5,6,6,6,6,6,5,5,6,6,6,5,6,6,1,0,0
132,0,5501240,27,203750,22,350050,1,4,1,5,5,1,3,1052,0,3,6,7,4,5,5,3,4,6,7,6,6,6,6,7,6,7,6,5,6,6,6,5,0,0,1
133,0,2361210,28,84329,1,4500,1,4,1,6,6,1,6,1086,0,5,5,7,4,1,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,1
134,0,6451590,60,107527,22,351245,1,2,0,6,6,1,3,1086,0,4,5,7,6,5,5,6,6,7,6,7,6,.,5,6,6,6,5,6,4,5,6,5,1,0,0
135,0,12659550,21,602836,14,334600,2,3,0,4,4,1,6,1071,0,5,7,7,4,6,6,5,7,6,7,6,6,6,6,6,7,6,6,7,6,7,6,6,0,1,0
136,0,2609800,8,326225,6,185600,2,4,1,4,4,1,4,1022,0,5,5,7,2,2,3,5,6,6,5,5,5,5,5,4,6,5,5,5,6,5,5,5,0,0,1
137,0,11423450,23,496672,19,366045,1,2,0,6,6,0,4,1057,0,4,6,7,4,6,5,4,7,5,4,5,6,5,6,6,5,6,6,6,6,5,6,6,1,0,0
138,0,8987370,18,499298,15,325350,1,4,0,5,5,0,1,943,0,3,3,6,3,6,4,5,6,7,6,6,7,6,5,6,5,6,5,5,3,6,6,6,0,0,1
139,0,8546080,45,189913,12,302750,1,2,1,5,5,1,5,1090,0,6,6,7,5,6,7,6,6,7,6,5,6,6,5,7,6,7,6,5,5,6,6,6,1,0,0
140,0,7813860,26,300533,20,348045,1,2,0,7,7,1,4,1075,0,4,6,7,4,5,5,4,6,6,6,6,.,6,6,7,7,5,6,7,6,5,5,5,1,0,0
141,0,15146730,66,229496,6,185350,1,2,1,6,6,1,6,1094,0,6,6,7,6,7,7,7,7,6,5,6,6,6,6,5,6,6,5,4,5,5,4,5,1,0,0
142,1,7651140,28,273255,30,381445,1,2,0,6,6,0,8,612,0,4,5,1,4,5,3,5,6,7,7,7,7,7,6,6,4,6,5,6,6,7,5,5,1,0,0
143,0,6431540,31,207469,19,359400,1,2,0,5,5,1,3,1053,0,4,6,7,5,5,6,4,7,5,6,4,5,.,5,4,5,4,6,7,5,5,5,5,1,0,0
144,0,5815780,14,415413,7,190035,1,4,1,5,5,1,3,972,0,5,6,7,3,5,6,5,7,5,5,5,6,5,5,5,6,5,5,4,4,5,4,4,0,0,1
145,0,16348250,58,281866,28,376845,1,2,0,6,6,1,5,1069,0,2,4,7,5,7,5,7,6,6,7,6,6,7,6,7,6,7,6,6,7,6,6,6,1,0,0
146,0,13581510,73,186048,25,358300,1,2,1,5,5,1,6,1089,0,5,6,7,6,7,6,7,5,5,6,6,6,6,6,5,5,6,5,6,6,5,5,5,1,0,0
147,0,41866860,88,475760,26,365400,2,2,0,4,4,1,3,1083,1,5,7,7,6,7,6,6,6,7,6,6,7,.,5,6,6,7,6,4,4,6,6,6,1,0,0
148,0,5246880,24,218620,15,325350,1,4,1,5,5,1,1,1032,0,2,6,7,4,4,4,4,4,6,5,5,5,6,5,5,6,5,6,5,5,6,6,6,0,0,1
149,0,5078620,13,390663,7,210000,1,4,1,6,6,1,6,951,0,3,7,7,3,4,2,3,5,7,7,6,5,5,6,7,6,7,6,7,6,6,5,6,0,0,1
150,0,2797020,19,147212,13,323350,2,4,0,4,4,0,4,1092,0,5,7,7,3,2,4,5,5,6,5,5,.,.,6,5,7,5,6,6,6,6,5,6,0,0,1
151,1,3901060,38,102659,30,379750,1,2,0,6,6,1,6,598,0,4,7,1,5,3,6,6,6,7,7,6,6,6,7,7,7,6,7,4,5,6,6,6,1,0,0
